Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
CML 2001 w/o LT (superseded),9dd95ea311594c469d237677572c954b,marine aquatic ecotoxicity w/o LT|MAETP infinite w/o LT,a8e63ce8adba4b9f9184089f4543dbe5,"kg 1,4-DCB-Eq","2,4-D",f681eb3c-854a-4f78-bcfe-76dfbcf9df3c,soil|agricultural,kg,0000094-75-7,0.16627
CML 2001 w/o LT (superseded),9dd95ea311594c469d237677572c954b,marine aquatic ecotoxicity w/o LT|MAETP infinite w/o LT,a8e63ce8adba4b9f9184089f4543dbe5,"kg 1,4-DCB-Eq",Acenaphthene,f6432a5a-eb35-4395-9909-5d0e17296681,air|lower stratosphere + upper troposphere,kg,0000083-32-9,4260.5
CML 2001 w/o LT (superseded),9dd95ea311594c469d237677572c954b,marine aquatic ecotoxicity w/o LT|MAETP infinite w/o LT,a8e63ce8adba4b9f9184089f4543dbe5,"kg 1,4-DCB-Eq",Acenaphthene,922a7ccf-3338-43ad-bd7e-77d51df051ab,air|non-urban air or from high stacks,kg,0000083-32-9,4260.5
CML 2001 w/o LT (superseded),9dd95ea311594c469d237677572c954b,marine aquatic ecotoxicity w/o LT|MAETP infinite w/o LT,a8e63ce8adba4b9f9184089f4543dbe5,"kg 1,4-DCB-Eq",Acenaphthene,1f4afa32-a9a2-40da-8396-104452cb637f,air|unspecified,kg,0000083-32-9,4260.5
CML 2001 w/o LT (superseded),9dd95ea311594c469d237677572c954b,marine aquatic ecotoxicity w/o LT|MAETP infinite w/o LT,a8e63ce8adba4b9f9184089f4543dbe5,"kg 1,4-DCB-Eq",Acenaphthene,99c07b66-c039-4896-866d-06abdaa9d46a,air|urban air close to ground,kg,0000083-32-9,4260.5
CML 2001 w/o LT (superseded),9dd95ea311594c469d237677572c954b,marine aquatic ecotoxicity w/o LT|MAETP infinite w/o LT,a8e63ce8adba4b9f9184089f4543dbe5,"kg 1,4-DCB-Eq",Acenaphthene,0bc097f2-00ee-416f-a275-2c05d1e6d482,water|ground-,kg,0000083-32-9,5484.8
CML 2001 w/o LT (superseded),9dd95ea311594c469d237677572c954b,marine aquatic ecotoxicity w/o LT|MAETP infinite w/o LT,a8e63ce8adba4b9f9184089f4543dbe5,"kg 1,4-DCB-Eq",Acenaphthene,a6ad3fc7-c019-454f-a899-43be7913a598,water|ocean,kg,0000083-32-9,23738.0
CML 2001 w/o LT (superseded),9dd95ea311594c469d237677572c954b,marine aquatic ecotoxicity w/o LT|MAETP infinite w/o LT,a8e63ce8adba4b9f9184089f4543dbe5,"kg 1,4-DCB-Eq",Acenaphthene,5c238e5f-97c8-4837-8d67-48899ddd43be,water|surface water,kg,0000083-32-9,5484.8
CML 2001 w/o LT (superseded),9dd95ea311594c469d237677572c954b,marine aquatic ecotoxicity w/o LT|MAETP infinite w/o LT,a8e63ce8adba4b9f9184089f4543dbe5,"kg 1,4-DCB-Eq",Acenaphthene,8732d8b5-7f41-498c-be37-5bcd7a802ee6,water|unspecified,kg,0000083-32-9,5484.8
CML 2001 w/o LT (superseded),9dd95ea311594c469d237677572c954b,marine aquatic ecotoxicity w/o LT|MAETP infinite w/o LT,a8e63ce8adba4b9f9184089f4543dbe5,"kg 1,4-DCB-Eq",Acenaphthylene,a998fad5-65bc-4ea9-905b-df4d5e667358,water|ground-,kg,0000208-96-8,5484.8
CML 2001 w/o LT (superseded),9dd95ea311594c469d237677572c954b,marine aquatic ecotoxicity w/o LT|MAETP infinite w/o LT,a8e63ce8adba4b9f9184089f4543dbe5,"kg 1,4-DCB-Eq",Acenaphthylene,9dc481e4-e4cd-4cb1-a03e-d539f774e958,water|ocean,kg,0000208-96-8,23738.0
