Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
CML v4.8 2016,47f39396a1fd45c097b314e7715b1bd7,"acidification|acidification (incl. fate, average Europe total, A&B)",8a6d3874f34e495c8c4f5707d0b1b009,kg SO2-Eq,Ammonia,2b50f643-216a-412b-a0e5-5946867aa2ed,"air|low population density, long-term",kg,0007664-41-7,1.6
CML v4.8 2016,47f39396a1fd45c097b314e7715b1bd7,"acidification|acidification (incl. fate, average Europe total, A&B)",8a6d3874f34e495c8c4f5707d0b1b009,kg SO2-Eq,Ammonia,8494ed3c-0416-4aa5-b100-51a2b2bcadbd,air|lower stratosphere + upper troposphere,kg,0007664-41-7,1.6
CML v4.8 2016,47f39396a1fd45c097b314e7715b1bd7,"acidification|acidification (incl. fate, average Europe total, A&B)",8a6d3874f34e495c8c4f5707d0b1b009,kg SO2-Eq,Ammonia,0f440cc0-0f74-446d-99d6-8ff0e97a2444,air|non-urban air or from high stacks,kg,0007664-41-7,1.6
CML v4.8 2016,47f39396a1fd45c097b314e7715b1bd7,"acidification|acidification (incl. fate, average Europe total, A&B)",8a6d3874f34e495c8c4f5707d0b1b009,kg SO2-Eq,Ammonia,87883a4e-1e3e-4c9d-90c0-f1bea36f8014,air|unspecified,kg,0007664-41-7,1.6
CML v4.8 2016,47f39396a1fd45c097b314e7715b1bd7,"acidification|acidification (incl. fate, average Europe total, A&B)",8a6d3874f34e495c8c4f5707d0b1b009,kg SO2-Eq,Ammonia,9990b51b-7023-4700-bca0-1a32ef921f74,air|urban air close to ground,kg,0007664-41-7,1.6
CML v4.8 2016,47f39396a1fd45c097b314e7715b1bd7,"acidification|acidification (incl. fate, average Europe total, A&B)",8a6d3874f34e495c8c4f5707d0b1b009,kg SO2-Eq,Nitric oxide,17f7e776-7934-54af-8c3c-ed0247cb697b,air|unspecified,kg,0010102-43-9,0.76
CML v4.8 2016,47f39396a1fd45c097b314e7715b1bd7,"acidification|acidification (incl. fate, average Europe total, A&B)",8a6d3874f34e495c8c4f5707d0b1b009,kg SO2-Eq,Nitrogen oxides,9115356e-a534-4329-9ec6-d9208720241b,"air|low population density, long-term",kg,0011104-93-1,0.5
CML v4.8 2016,47f39396a1fd45c097b314e7715b1bd7,"acidification|acidification (incl. fate, average Europe total, A&B)",8a6d3874f34e495c8c4f5707d0b1b009,kg SO2-Eq,Nitrogen oxides,4841a0fe-c250-4a39-94a1-1bc31426c0f1,air|lower stratosphere + upper troposphere,kg,0011104-93-1,0.5
CML v4.8 2016,47f39396a1fd45c097b314e7715b1bd7,"acidification|acidification (incl. fate, average Europe total, A&B)",8a6d3874f34e495c8c4f5707d0b1b009,kg SO2-Eq,Nitrogen oxides,77357947-ccc5-438e-9996-95e65e1e1bce,air|non-urban air or from high stacks,kg,0011104-93-1,0.5
CML v4.8 2016,47f39396a1fd45c097b314e7715b1bd7,"acidification|acidification (incl. fate, average Europe total, A&B)",8a6d3874f34e495c8c4f5707d0b1b009,kg SO2-Eq,Nitrogen oxides,c1b91234-6f24-417b-8309-46111d09c457,air|unspecified,kg,0011104-93-1,0.5
CML v4.8 2016,47f39396a1fd45c097b314e7715b1bd7,"acidification|acidification (incl. fate, average Europe total, A&B)",8a6d3874f34e495c8c4f5707d0b1b009,kg SO2-Eq,Nitrogen oxides,d068f3e2-b033-417b-a359-ca4f25da9731,air|urban air close to ground,kg,0011104-93-1,0.5
CML v4.8 2016,47f39396a1fd45c097b314e7715b1bd7,"acidification|acidification (incl. fate, average Europe total, A&B)",8a6d3874f34e495c8c4f5707d0b1b009,kg SO2-Eq,Sulfur dioxide,6ce44f77-d181-4396-8fa2-2276eeeb4c08,"air|low population density, long-term",kg,0007446-09-5,1.2
CML v4.8 2016,47f39396a1fd45c097b314e7715b1bd7,"acidification|acidification (incl. fate, average Europe total, A&B)",8a6d3874f34e495c8c4f5707d0b1b009,kg SO2-Eq,Sulfur dioxide,16521d00-4b6f-464f-b5dd-8da4a27b15ca,air|lower stratosphere + upper troposphere,kg,0007446-09-5,1.2
CML v4.8 2016,47f39396a1fd45c097b314e7715b1bd7,"acidification|acidification (incl. fate, average Europe total, A&B)",8a6d3874f34e495c8c4f5707d0b1b009,kg SO2-Eq,Sulfur dioxide,78c3efe4-421c-4d30-82e4-b97ac5124993,air|non-urban air or from high stacks,kg,0007446-09-5,1.2
