Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
EDIP2003,6d3bfd5420034917b2e764cc4ad874ca,eutrophication|terrestrial eutrophication,f5cf92f05ff34d29b511af59c94288bc,m2,Ammonia,2b50f643-216a-412b-a0e5-5946867aa2ed,"air|low population density, long-term",kg,0007664-41-7,101.0
EDIP2003,6d3bfd5420034917b2e764cc4ad874ca,eutrophication|terrestrial eutrophication,f5cf92f05ff34d29b511af59c94288bc,m2,Ammonia,8494ed3c-0416-4aa5-b100-51a2b2bcadbd,air|lower stratosphere + upper troposphere,kg,0007664-41-7,101.0
EDIP2003,6d3bfd5420034917b2e764cc4ad874ca,eutrophication|terrestrial eutrophication,f5cf92f05ff34d29b511af59c94288bc,m2,Ammonia,0f440cc0-0f74-446d-99d6-8ff0e97a2444,air|non-urban air or from high stacks,kg,0007664-41-7,101.0
EDIP2003,6d3bfd5420034917b2e764cc4ad874ca,eutrophication|terrestrial eutrophication,f5cf92f05ff34d29b511af59c94288bc,m2,Ammonia,87883a4e-1e3e-4c9d-90c0-f1bea36f8014,air|unspecified,kg,0007664-41-7,101.0
EDIP2003,6d3bfd5420034917b2e764cc4ad874ca,eutrophication|terrestrial eutrophication,f5cf92f05ff34d29b511af59c94288bc,m2,Ammonia,9990b51b-7023-4700-bca0-1a32ef921f74,air|urban air close to ground,kg,0007664-41-7,101.0
EDIP2003,6d3bfd5420034917b2e764cc4ad874ca,eutrophication|terrestrial eutrophication,f5cf92f05ff34d29b511af59c94288bc,m2,Nitrogen oxides,9115356e-a534-4329-9ec6-d9208720241b,"air|low population density, long-term",kg,0011104-93-1,25.4
EDIP2003,6d3bfd5420034917b2e764cc4ad874ca,eutrophication|terrestrial eutrophication,f5cf92f05ff34d29b511af59c94288bc,m2,Nitrogen oxides,4841a0fe-c250-4a39-94a1-1bc31426c0f1,air|lower stratosphere + upper troposphere,kg,0011104-93-1,25.4
EDIP2003,6d3bfd5420034917b2e764cc4ad874ca,eutrophication|terrestrial eutrophication,f5cf92f05ff34d29b511af59c94288bc,m2,Nitrogen oxides,77357947-ccc5-438e-9996-95e65e1e1bce,air|non-urban air or from high stacks,kg,0011104-93-1,25.4
EDIP2003,6d3bfd5420034917b2e764cc4ad874ca,eutrophication|terrestrial eutrophication,f5cf92f05ff34d29b511af59c94288bc,m2,Nitrogen oxides,c1b91234-6f24-417b-8309-46111d09c457,air|unspecified,kg,0011104-93-1,25.4
EDIP2003,6d3bfd5420034917b2e764cc4ad874ca,eutrophication|terrestrial eutrophication,f5cf92f05ff34d29b511af59c94288bc,m2,Nitrogen oxides,d068f3e2-b033-417b-a359-ca4f25da9731,air|urban air close to ground,kg,0011104-93-1,25.4
