Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: biogenic no LT|global warming potential (GWP100) no LT,1ab199d6280c490aab8ef817072d82b6,kg CO2-Eq,"Methane, non-fossil",258263a0-6be3-4439-bd84-efee0498b849,air|lower stratosphere + upper troposphere,kg,0000074-82-8,34.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: biogenic no LT|global warming potential (GWP100) no LT,1ab199d6280c490aab8ef817072d82b6,kg CO2-Eq,"Methane, non-fossil",57bdb443-d4a6-423d-8024-959b8261d02e,air|non-urban air or from high stacks,kg,0000074-82-8,34.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: biogenic no LT|global warming potential (GWP100) no LT,1ab199d6280c490aab8ef817072d82b6,kg CO2-Eq,"Methane, non-fossil",da1157e2-7593-4dfd-80dd-a3449b37a4d8,air|unspecified,kg,0000074-82-8,34.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: biogenic no LT|global warming potential (GWP100) no LT,1ab199d6280c490aab8ef817072d82b6,kg CO2-Eq,"Methane, non-fossil",baf58fc9-573c-419c-8c16-831ac03203b9,air|urban air close to ground,kg,0000074-82-8,34.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,"Carbon dioxide, fossil",16eeda8a-1ea2-408e-ab37-2648495058dd,air|lower stratosphere + upper troposphere,kg,0000124-38-9,1.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,"Carbon dioxide, fossil",aa7cac3a-3625-41d4-bc54-33e2cf11ec46,air|non-urban air or from high stacks,kg,0000124-38-9,1.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,"Carbon dioxide, fossil",349b29d1-3e58-4c66-98b9-9d1a076efd2e,air|unspecified,kg,0000124-38-9,1.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,"Carbon dioxide, fossil",f9749677-9c9f-4678-ab55-c607dfdc2cb9,air|urban air close to ground,kg,0000124-38-9,1.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,"Carbon monoxide, fossil",a3beb5ac-5149-47f6-a035-53fc5030f10a,air|lower stratosphere + upper troposphere,kg,0000630-08-0,1.57
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,"Carbon monoxide, fossil",099b36ab-4c03-4587-87f4-2f81e337afb8,air|non-urban air or from high stacks,kg,0000630-08-0,1.57
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,"Carbon monoxide, fossil",ba2f3f82-c93a-47a5-822a-37ec97495275,air|unspecified,kg,0000630-08-0,1.57
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,"Carbon monoxide, fossil",6edcc2df-88a3-48e1-83d8-ffc38d31c35b,air|urban air close to ground,kg,0000630-08-0,1.57
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,Chloroform,98af3079-fb76-488d-8afe-713814e14d36,air|lower stratosphere + upper troposphere,kg,0000067-66-3,20.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,Chloroform,fa9b9736-6de8-4bd6-ba22-1bd78c798373,air|non-urban air or from high stacks,kg,0000067-66-3,20.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,Chloroform,fbf6ab3a-74e3-4cbe-b61d-959728bdce46,air|unspecified,kg,0000067-66-3,20.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,Chloroform,4cadbc9f-0472-4bb9-a942-df5b90e37878,air|urban air close to ground,kg,0000067-66-3,20.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,Dinitrogen monoxide,473826ae-125a-4b02-8c8e-c84322491d80,air|lower stratosphere + upper troposphere,kg,0010024-97-2,298.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,Dinitrogen monoxide,afd6d670-bbb0-4625-9730-04088a5b035e,air|non-urban air or from high stacks,kg,0010024-97-2,298.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,Dinitrogen monoxide,20185046-64bb-4c09-a8e7-e8a9e144ca98,air|unspecified,kg,0010024-97-2,298.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,Dinitrogen monoxide,6dc1b46f-ee89-4495-95c4-b8a637bcd6cb,air|urban air close to ground,kg,0010024-97-2,298.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",75fe1a2c-49fa-49e4-90f1-8f102508a96d,air|lower stratosphere + upper troposphere,kg,0000811-97-2,1550.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",16fcd4f9-0bb8-4b84-8334-3ffb1a17aa74,air|non-urban air or from high stacks,kg,0000811-97-2,1550.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",e87f039d-d9ce-4242-ac18-c9284cc80f3d,air|unspecified,kg,0000811-97-2,1550.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",fa0c2bee-8dd9-4f8a-8489-b1f3b43de958,air|urban air close to ground,kg,0000811-97-2,1550.0
EF v2.0 2018 no LT,2458a430e7c847cdb52806b840fcaedb,climate change: fossil no LT|global warming potential (GWP100) no LT,9f4b1015d0c44e0ab3b463eba4420e55,kg CO2-Eq,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113",53b87932-00c8-4bf4-b519-ecd3c401ed4d,air|lower stratosphere + upper troposphere,kg,0000076-13-1,6590.0
