Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
EF v3.0 EN15804,eac18ab11eb74ac59206610fe50d49d2,acidification|accumulated exceedance (ae),d1940aa80bea4642be9bad03af1c0976,mol H+-Eq,Ammonia,9990b51b-7023-4700-bca0-1a32ef921f74,air|urban air close to ground,kg,0007664-41-7,3.02
EF v3.0 EN15804,eac18ab11eb74ac59206610fe50d49d2,acidification|accumulated exceedance (ae),d1940aa80bea4642be9bad03af1c0976,mol H+-Eq,Nitrogen oxides,4841a0fe-c250-4a39-94a1-1bc31426c0f1,air|lower stratosphere + upper troposphere,kg,0011104-93-1,0.74
EF v3.0 EN15804,eac18ab11eb74ac59206610fe50d49d2,acidification|accumulated exceedance (ae),d1940aa80bea4642be9bad03af1c0976,mol H+-Eq,Nitrogen oxides,c1b91234-6f24-417b-8309-46111d09c457,air|unspecified,kg,0011104-93-1,0.74
EF v3.0 EN15804,eac18ab11eb74ac59206610fe50d49d2,acidification|accumulated exceedance (ae),d1940aa80bea4642be9bad03af1c0976,mol H+-Eq,Ammonia,8494ed3c-0416-4aa5-b100-51a2b2bcadbd,air|lower stratosphere + upper troposphere,kg,0007664-41-7,3.02
EF v3.0 EN15804,eac18ab11eb74ac59206610fe50d49d2,acidification|accumulated exceedance (ae),d1940aa80bea4642be9bad03af1c0976,mol H+-Eq,Ammonia,2b50f643-216a-412b-a0e5-5946867aa2ed,"air|low population density, long-term",kg,0007664-41-7,3.02
EF v3.0 EN15804,eac18ab11eb74ac59206610fe50d49d2,acidification|accumulated exceedance (ae),d1940aa80bea4642be9bad03af1c0976,mol H+-Eq,Sulfur trioxide,13825fb9-6e24-409a-bfcd-5dc4fd61ef98,"air|low population density, long-term",kg,0007446-11-9,1.04821
EF v3.0 EN15804,eac18ab11eb74ac59206610fe50d49d2,acidification|accumulated exceedance (ae),d1940aa80bea4642be9bad03af1c0976,mol H+-Eq,Sulfur trioxide,b00950bc-99cb-4ee2-bbc0-5f878ea170c3,air|urban air close to ground,kg,0007446-11-9,1.04821
EF v3.0 EN15804,eac18ab11eb74ac59206610fe50d49d2,acidification|accumulated exceedance (ae),d1940aa80bea4642be9bad03af1c0976,mol H+-Eq,Sulfur trioxide,48430c70-95e0-4036-9854-72cc772ac8b2,air|non-urban air or from high stacks,kg,0007446-11-9,1.04821
EF v3.0 EN15804,eac18ab11eb74ac59206610fe50d49d2,acidification|accumulated exceedance (ae),d1940aa80bea4642be9bad03af1c0976,mol H+-Eq,Sulfur trioxide,aeb3e625-906a-4993-9f02-785f8cfd1ea5,air|lower stratosphere + upper troposphere,kg,0007446-11-9,1.04821
EF v3.0 EN15804,eac18ab11eb74ac59206610fe50d49d2,acidification|accumulated exceedance (ae),d1940aa80bea4642be9bad03af1c0976,mol H+-Eq,Sulfur dioxide,fd7aa71c-508c-480d-81a6-8052aad92646,air|unspecified,kg,0007446-09-5,1.31
