Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,1-Pentanol,9dd01d5b-3677-4822-9cd4-36d21b0e23d1,"air|low population density, long-term",kg,0000071-41-0,2.14
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,1-Pentanol,b78e77cb-7636-4420-855e-17239984f8b3,air|lower stratosphere + upper troposphere,kg,0000071-41-0,2.14
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,1-Pentanol,cc9a442f-c96a-4bdc-990d-8b58f72b4e07,air|non-urban air or from high stacks,kg,0000071-41-0,2.14
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,1-Pentanol,048baf1e-6cdc-44a5-92e2-32d15ff54885,air|unspecified,kg,0000071-41-0,2.14
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,1-Pentanol,541a823c-0aad-4dc4-9123-d4af4647d942,air|urban air close to ground,kg,0000071-41-0,2.14
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,1-Pentene,47a8dfb8-f1e5-4460-b7ca-eeea1ca44596,"air|low population density, long-term",kg,0000109-67-1,2.46
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,1-Pentene,87eed31b-5a6b-43ae-9a02-778a8c6e4ff8,air|lower stratosphere + upper troposphere,kg,0000109-67-1,2.46
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,1-Pentene,ccfea48e-0aec-4573-8ed1-fb7c0f1b14ae,air|non-urban air or from high stacks,kg,0000109-67-1,2.46
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,1-Pentene,651cbfbb-3027-4e20-a5b0-4a67e86e837a,air|unspecified,kg,0000109-67-1,2.46
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,1-Pentene,8cbaa905-41b0-4327-8403-bf1c8eb25429,air|urban air close to ground,kg,0000109-67-1,2.46
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Aminopropanol,cdce48e7-8c92-4214-b948-cc46a4700fe6,"air|low population density, long-term",kg,0002749-11-3,2.14
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Aminopropanol,c43cede7-18e7-49a4-aaf1-574975584a1b,air|lower stratosphere + upper troposphere,kg,0002749-11-3,2.14
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Aminopropanol,b1fa0fe9-49d4-4e1d-9502-3b2d10a313c9,air|non-urban air or from high stacks,kg,0002749-11-3,2.14
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Aminopropanol,3e07d825-a98e-4cdc-afa3-610fa7739261,air|unspecified,kg,0002749-11-3,2.14
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Aminopropanol,a0fec60d-3f74-48bf-a2d2-58c30fc13e53,air|urban air close to ground,kg,0002749-11-3,2.14
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Methyl pentane,1b4da243-3412-4425-b44e-dea22e7ebd43,"air|low population density, long-term",kg,0000107-83-5,2.43
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Methyl pentane,a9afc2a9-9479-44b6-afcf-23f305bb261c,air|lower stratosphere + upper troposphere,kg,0000107-83-5,2.43
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Methyl pentane,d25a3860-4be0-4fb3-ae03-2a4f04d2aa6f,air|non-urban air or from high stacks,kg,0000107-83-5,2.43
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Methyl pentane,059e6a26-7035-4621-a360-c71c5778eec8,air|unspecified,kg,0000107-83-5,2.43
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Methyl pentane,d5649872-502b-4d23-b882-26d74a9fc4b4,air|urban air close to ground,kg,0000107-83-5,2.43
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Methyl-1-propanol,88be8e1b-1bdc-46e1-9856-187a95b3d872,"air|low population density, long-term",kg,0000078-83-1,1.85
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Methyl-1-propanol,17f06f74-feea-4b7c-a125-a67ae6e1dcfb,air|lower stratosphere + upper troposphere,kg,0000078-83-1,1.85
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Methyl-1-propanol,76e532b3-25c7-487e-894c-5bf306cdd012,air|non-urban air or from high stacks,kg,0000078-83-1,1.85
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Methyl-1-propanol,47bee45d-6d2b-48a6-a0c8-fcb8debc7f5d,air|unspecified,kg,0000078-83-1,1.85
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Methyl-1-propanol,e2d860e3-1038-4386-a5f1-25ad75d18bbd,air|urban air close to ground,kg,0000078-83-1,1.85
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Methyl-2-butene,394c876b-9b10-4f7f-b2b7-4e61b691d7c6,"air|low population density, long-term",kg,0000513-35-9,2.4
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Methyl-2-butene,f9501098-4a8e-4cd1-98b7-00afbac477a4,air|lower stratosphere + upper troposphere,kg,0000513-35-9,2.4
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Methyl-2-butene,ef762eea-a8a2-49e1-8ed6-a12d325856f4,air|non-urban air or from high stacks,kg,0000513-35-9,2.4
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Methyl-2-butene,4e44630f-4197-4f05-809f-0fef07fba7d3,air|unspecified,kg,0000513-35-9,2.4
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Methyl-2-butene,79a87f98-0b00-4e7e-86f8-70667307f696,air|urban air close to ground,kg,0000513-35-9,2.4
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Propanol,326b94e8-aea0-4bd4-8a50-63bf283882a8,"air|low population density, long-term",kg,0000067-63-0,1.46
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Propanol,1cd24bc8-53b9-43e8-ad58-4438c9244a10,air|lower stratosphere + upper troposphere,kg,0000067-63-0,1.46
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Propanol,ed1aff41-0bfc-48b8-8250-840c0a2f6961,air|non-urban air or from high stacks,kg,0000067-63-0,1.46
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Propanol,479edec6-763c-49fc-83f8-49780f08cf29,air|unspecified,kg,0000067-63-0,1.46
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,2-Propanol,cbf58f64-9286-406f-8dcb-ef1d81eec980,air|urban air close to ground,kg,0000067-63-0,1.46
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,4-Methyl-2-pentanone,497e2e7c-0e1a-4b9f-a94e-d63d5e49dcf8,"air|low population density, long-term",kg,0000108-10-1,2.37
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,4-Methyl-2-pentanone,a6dd536a-5443-4c23-bb5e-60f0fa68af13,air|lower stratosphere + upper troposphere,kg,0000108-10-1,2.37
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,4-Methyl-2-pentanone,6ed53433-96ff-402c-87d0-52b8271aadac,air|non-urban air or from high stacks,kg,0000108-10-1,2.37
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,4-Methyl-2-pentanone,53214ef0-3cc1-4166-920b-08ca46f7c457,air|unspecified,kg,0000108-10-1,2.37
EPS 2000,4d4d0d178112417fa4e26e116f7a3cf6,total|emissions into air,4601b32d87fa422c9a6ae7e408f31606,ELU,4-Methyl-2-pentanone,9fbec2f4-6b42-4e63-9573-14e04befe20f,air|urban air close to ground,kg,0000108-10-1,2.37
