Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
IMPACT 2002+ (Endpoint),3ba97f6a1fad4269b018ddaac5898711,climate change|climate change,5ce3a6b3c282411ba5c268213bcb6ece,points,"Carbon dioxide, fossil",e259263c-d1f1-449f-bb9b-73c6d0a32a00,"air|low population density, long-term",kg,0000124-38-9,0.0001005
IMPACT 2002+ (Endpoint),3ba97f6a1fad4269b018ddaac5898711,climate change|climate change,5ce3a6b3c282411ba5c268213bcb6ece,points,"Carbon dioxide, fossil",16eeda8a-1ea2-408e-ab37-2648495058dd,air|lower stratosphere + upper troposphere,kg,0000124-38-9,0.0001005
IMPACT 2002+ (Endpoint),3ba97f6a1fad4269b018ddaac5898711,climate change|climate change,5ce3a6b3c282411ba5c268213bcb6ece,points,"Carbon dioxide, fossil",aa7cac3a-3625-41d4-bc54-33e2cf11ec46,air|non-urban air or from high stacks,kg,0000124-38-9,0.0001005
IMPACT 2002+ (Endpoint),3ba97f6a1fad4269b018ddaac5898711,climate change|climate change,5ce3a6b3c282411ba5c268213bcb6ece,points,"Carbon dioxide, fossil",349b29d1-3e58-4c66-98b9-9d1a076efd2e,air|unspecified,kg,0000124-38-9,0.0001005
IMPACT 2002+ (Endpoint),3ba97f6a1fad4269b018ddaac5898711,climate change|climate change,5ce3a6b3c282411ba5c268213bcb6ece,points,"Carbon dioxide, fossil",f9749677-9c9f-4678-ab55-c607dfdc2cb9,air|urban air close to ground,kg,0000124-38-9,0.0001005
IMPACT 2002+ (Endpoint),3ba97f6a1fad4269b018ddaac5898711,climate change|climate change,5ce3a6b3c282411ba5c268213bcb6ece,points,"Carbon dioxide, from soil or biomass stock",e1c597cc-14cb-4ebb-af07-7a93a5b77d34,"air|low population density, long-term",kg,0000124-38-9,0.0001005
IMPACT 2002+ (Endpoint),3ba97f6a1fad4269b018ddaac5898711,climate change|climate change,5ce3a6b3c282411ba5c268213bcb6ece,points,"Carbon dioxide, from soil or biomass stock",6d89125e-e9b7-4d7e-a1fc-ada45dbd8815,air|lower stratosphere + upper troposphere,kg,0000124-38-9,0.0001005
IMPACT 2002+ (Endpoint),3ba97f6a1fad4269b018ddaac5898711,climate change|climate change,5ce3a6b3c282411ba5c268213bcb6ece,points,"Carbon dioxide, from soil or biomass stock",78eb1859-abd9-44c6-9ce3-f3b5b33d619c,air|non-urban air or from high stacks,kg,0000124-38-9,0.0001005
IMPACT 2002+ (Endpoint),3ba97f6a1fad4269b018ddaac5898711,climate change|climate change,5ce3a6b3c282411ba5c268213bcb6ece,points,"Carbon dioxide, from soil or biomass stock",e4e9febc-07c1-403d-8d3a-6707bb4d96e6,air|unspecified,kg,0000124-38-9,0.0001005
IMPACT 2002+ (Endpoint),3ba97f6a1fad4269b018ddaac5898711,climate change|climate change,5ce3a6b3c282411ba5c268213bcb6ece,points,"Carbon dioxide, from soil or biomass stock",e8787b5e-d927-446d-81a9-f56977bbfeb4,air|urban air close to ground,kg,0000124-38-9,0.0001005
IMPACT 2002+ (Endpoint),3ba97f6a1fad4269b018ddaac5898711,climate change|climate change,5ce3a6b3c282411ba5c268213bcb6ece,points,"Carbon monoxide, fossil",49c594c6-b6a8-42a3-95c5-cca812fda80b,"air|low population density, long-term",kg,0000630-08-0,0.00015779
IMPACT 2002+ (Endpoint),3ba97f6a1fad4269b018ddaac5898711,climate change|climate change,5ce3a6b3c282411ba5c268213bcb6ece,points,"Carbon monoxide, fossil",a3beb5ac-5149-47f6-a035-53fc5030f10a,air|lower stratosphere + upper troposphere,kg,0000630-08-0,0.00015779
IMPACT 2002+ (Endpoint),3ba97f6a1fad4269b018ddaac5898711,climate change|climate change,5ce3a6b3c282411ba5c268213bcb6ece,points,"Carbon monoxide, fossil",099b36ab-4c03-4587-87f4-2f81e337afb8,air|non-urban air or from high stacks,kg,0000630-08-0,0.00015779
IMPACT 2002+ (Endpoint),3ba97f6a1fad4269b018ddaac5898711,climate change|climate change,5ce3a6b3c282411ba5c268213bcb6ece,points,"Carbon monoxide, fossil",ba2f3f82-c93a-47a5-822a-37ec97495275,air|unspecified,kg,0000630-08-0,0.00015779
