Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
IPCC 2007 (superseded),21602e11da924887bb4eecc3387397f4,climate change|GWP 100a,cae4b70320d543b09a6ffce0a520dc4f,kg CO2-Eq,"Methane, trichlorofluoro-, CFC-11",33a69662-583b-45b8-8cb9-94f59fca9133,air|urban air close to ground,kg,0000075-69-4,4750.0
IPCC 2007 (superseded),21602e11da924887bb4eecc3387397f4,climate change|GWP 100a,cae4b70320d543b09a6ffce0a520dc4f,kg CO2-Eq,"Methane, trichlorofluoro-, CFC-11",a916ca1b-4ece-4630-a563-ae3253efc04f,air|non-urban air or from high stacks,kg,0000075-69-4,4750.0
IPCC 2007 (superseded),21602e11da924887bb4eecc3387397f4,climate change|GWP 100a,cae4b70320d543b09a6ffce0a520dc4f,kg CO2-Eq,"Methane, trichlorofluoro-, CFC-11",3feb6415-ae50-4bb7-b9d1-c18d99f8a87f,"air|low population density, long-term",kg,0000075-69-4,4750.0
IPCC 2007 (superseded),21602e11da924887bb4eecc3387397f4,climate change|GWP 100a,cae4b70320d543b09a6ffce0a520dc4f,kg CO2-Eq,"Methane, trichlorofluoro-, CFC-11",6e61b542-5681-44f4-afcb-e30368bca420,air|lower stratosphere + upper troposphere,kg,0000075-69-4,4750.0
IPCC 2007 (superseded),21602e11da924887bb4eecc3387397f4,climate change|GWP 100a,cae4b70320d543b09a6ffce0a520dc4f,kg CO2-Eq,"Methane, trichlorofluoro-, CFC-11",51e99a55-bcdb-4d18-9484-6de4b142e09d,air|unspecified,kg,0000075-69-4,4750.0
IPCC 2007 (superseded),21602e11da924887bb4eecc3387397f4,climate change|GWP 100a,cae4b70320d543b09a6ffce0a520dc4f,kg CO2-Eq,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113",9b132374-dce2-4ce0-86aa-53201b30f617,air|urban air close to ground,kg,0000076-13-1,6130.0
IPCC 2007 (superseded),21602e11da924887bb4eecc3387397f4,climate change|GWP 100a,cae4b70320d543b09a6ffce0a520dc4f,kg CO2-Eq,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113",47c12d99-c2dc-41cf-bad1-cd31c2fe0421,air|non-urban air or from high stacks,kg,0000076-13-1,6130.0
IPCC 2007 (superseded),21602e11da924887bb4eecc3387397f4,climate change|GWP 100a,cae4b70320d543b09a6ffce0a520dc4f,kg CO2-Eq,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113",d2025041-20ee-41bb-b2c8-47631e839ff0,"air|low population density, long-term",kg,0000076-13-1,6130.0
IPCC 2007 (superseded),21602e11da924887bb4eecc3387397f4,climate change|GWP 100a,cae4b70320d543b09a6ffce0a520dc4f,kg CO2-Eq,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113",53b87932-00c8-4bf4-b519-ecd3c401ed4d,air|lower stratosphere + upper troposphere,kg,0000076-13-1,6130.0
IPCC 2007 (superseded),21602e11da924887bb4eecc3387397f4,climate change|GWP 100a,cae4b70320d543b09a6ffce0a520dc4f,kg CO2-Eq,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113",cacfd448-6c2d-4061-9363-fd506b979f25,air|unspecified,kg,0000076-13-1,6130.0
IPCC 2007 (superseded),21602e11da924887bb4eecc3387397f4,climate change|GWP 100a,cae4b70320d543b09a6ffce0a520dc4f,kg CO2-Eq,"Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114",3b30d058-02ef-4ed2-b357-5fc1a45c63e7,air|urban air close to ground,kg,0000076-14-2,10000.0
