Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
IPCC 2013 no LT,f5a38c0f83b745a7981b4c921a7cc707,climate change|GTP 100a,3828447b015242b584fc24b2857eb6d8,kg CO2-Eq,"Carbon dioxide, fossil",16eeda8a-1ea2-408e-ab37-2648495058dd,air|lower stratosphere + upper troposphere,kg,0000124-38-9,1.0
IPCC 2013 no LT,f5a38c0f83b745a7981b4c921a7cc707,climate change|GTP 100a,3828447b015242b584fc24b2857eb6d8,kg CO2-Eq,"Carbon dioxide, fossil",aa7cac3a-3625-41d4-bc54-33e2cf11ec46,air|non-urban air or from high stacks,kg,0000124-38-9,1.0
IPCC 2013 no LT,f5a38c0f83b745a7981b4c921a7cc707,climate change|GTP 100a,3828447b015242b584fc24b2857eb6d8,kg CO2-Eq,"Carbon dioxide, fossil",349b29d1-3e58-4c66-98b9-9d1a076efd2e,air|unspecified,kg,0000124-38-9,1.0
IPCC 2013 no LT,f5a38c0f83b745a7981b4c921a7cc707,climate change|GTP 100a,3828447b015242b584fc24b2857eb6d8,kg CO2-Eq,"Carbon dioxide, fossil",f9749677-9c9f-4678-ab55-c607dfdc2cb9,air|urban air close to ground,kg,0000124-38-9,1.0
IPCC 2013 no LT,f5a38c0f83b745a7981b4c921a7cc707,climate change|GTP 100a,3828447b015242b584fc24b2857eb6d8,kg CO2-Eq,"Carbon dioxide, from soil or biomass stock",5188df39-2bb8-4826-b469-fa9f86bacc09,air|indoor,kg,0000124-38-9,1.0
IPCC 2013 no LT,f5a38c0f83b745a7981b4c921a7cc707,climate change|GTP 100a,3828447b015242b584fc24b2857eb6d8,kg CO2-Eq,"Carbon dioxide, from soil or biomass stock",6d89125e-e9b7-4d7e-a1fc-ada45dbd8815,air|lower stratosphere + upper troposphere,kg,0000124-38-9,1.0
IPCC 2013 no LT,f5a38c0f83b745a7981b4c921a7cc707,climate change|GTP 100a,3828447b015242b584fc24b2857eb6d8,kg CO2-Eq,"Carbon dioxide, from soil or biomass stock",78eb1859-abd9-44c6-9ce3-f3b5b33d619c,air|non-urban air or from high stacks,kg,0000124-38-9,1.0
IPCC 2013 no LT,f5a38c0f83b745a7981b4c921a7cc707,climate change|GTP 100a,3828447b015242b584fc24b2857eb6d8,kg CO2-Eq,"Carbon dioxide, from soil or biomass stock",e4e9febc-07c1-403d-8d3a-6707bb4d96e6,air|unspecified,kg,0000124-38-9,1.0
IPCC 2013 no LT,f5a38c0f83b745a7981b4c921a7cc707,climate change|GTP 100a,3828447b015242b584fc24b2857eb6d8,kg CO2-Eq,"Carbon dioxide, from soil or biomass stock",e8787b5e-d927-446d-81a9-f56977bbfeb4,air|urban air close to ground,kg,0000124-38-9,1.0
IPCC 2013 no LT,f5a38c0f83b745a7981b4c921a7cc707,climate change|GTP 100a,3828447b015242b584fc24b2857eb6d8,kg CO2-Eq,"Carbon dioxide, to soil or biomass stock",259cf8d6-6ea8-4ccf-84b7-23c930a5b2b3,soil|agricultural,kg,0000124-38-9,-1.0
