Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,"2,4-D",f681eb3c-854a-4f78-bcfe-76dfbcf9df3c,soil|agricultural,kg,0000094-75-7,3.66851733481e-05
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,2-Propanol,697667f9-d58c-4a64-99e3-30d24d7f91a2,water|ground-,kg,0000067-63-0,1.75031488023e-06
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,2-Propanol,5b33703d-d6a1-4bde-88e7-3b90b4d45550,water|ocean,kg,0000067-63-0,2.40286630323e-10
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,2-Propanol,caeb15fa-9711-4d37-99a2-d12c7823b8bc,water|surface water,kg,0000067-63-0,1.75031488023e-06
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,2-Propanol,e92a1310-603c-4346-85b8-e4e3192cd75c,water|unspecified,kg,0000067-63-0,1.75031488023e-06
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Abamectin,3166d308-cc57-4d31-b42e-63c7eada821f,soil|agricultural,kg,0071751-41-2,0.024729914564
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acenaphthene,0bc097f2-00ee-416f-a275-2c05d1e6d482,water|ground-,kg,0000083-32-9,0.00304701665916
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acenaphthene,a6ad3fc7-c019-454f-a899-43be7913a598,water|ocean,kg,0000083-32-9,3.50572869263e-09
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acenaphthene,5c238e5f-97c8-4837-8d67-48899ddd43be,water|surface water,kg,0000083-32-9,0.00304701665916
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acenaphthene,8732d8b5-7f41-498c-be37-5bcd7a802ee6,water|unspecified,kg,0000083-32-9,0.00304701665916
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acephate,cdcdbfc9-3d5f-4e78-8033-8dbecbb2cfec,soil|agricultural,kg,0030560-19-1,0.000178558725707
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acetaldehyde,43a7e8ef-634e-401b-92f1-32cb42f226ac,air|lower stratosphere + upper troposphere,kg,0000075-07-0,6.1758633341e-07
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acetaldehyde,fc9f9a81-c4b9-4dce-bc20-9f04e05ca2f1,air|non-urban air or from high stacks,kg,0000075-07-0,6.1758633341e-07
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acetaldehyde,e3e8f6a2-c45e-4685-9859-698b2eadaf5b,air|unspecified,kg,0000075-07-0,4.72769114685e-07
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acetaldehyde,5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f,air|urban air close to ground,kg,0000075-07-0,4.72769114685e-07
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acetic acid,f53378fe-3e04-4f74-9a08-bea2a6332b67,air|lower stratosphere + upper troposphere,kg,0000064-19-7,3.25244853225e-06
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acetic acid,c5cc0625-6e01-4639-b053-5d1d9d22a53c,air|non-urban air or from high stacks,kg,0000064-19-7,3.25244853225e-06
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acetic acid,d157416d-db9b-4f88-a7f3-a9a5f1ea88f2,air|unspecified,kg,0000064-19-7,1.18267231236e-05
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acetic acid,b9b68c0c-053e-41de-ab72-8dfe1c3f5755,air|urban air close to ground,kg,0000064-19-7,1.18267231236e-05
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acetic acid,78a0fa8b-3e30-45c2-ad50-290c3b608c84,water|ground-,kg,0000064-19-7,5.63667599552e-05
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acetic acid,18452b50-8c57-41d2-bbdd-37996c455771,water|ocean,kg,0000064-19-7,4.23799483507e-10
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acetic acid,061c7a46-3728-48fa-8240-7a8841e6ca6f,water|surface water,kg,0000064-19-7,5.63667599552e-05
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acetic acid,3cea246d-706f-4280-ac52-3c7590e8fa7f,water|unspecified,kg,0000064-19-7,5.63667599552e-05
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acetone,a765d3a1-65c6-4544-8487-b3104b937568,air|lower stratosphere + upper troposphere,kg,0000067-64-1,2.23241049859e-08
"ReCiPe Endpoint (E,A) w/o LT",b2d91ae5629741b6b4adf98d9bec9203,ecosystem quality w/o LT|freshwater ecotoxicity w/o LT,0814c09ee7fc4ce2abf8400811b873ea,points,Acetone,7a2d7097-20c4-4b5f-b2ee-bcfc2ba1378f,air|non-urban air or from high stacks,kg,0000067-64-1,2.23241049859e-08
