Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,"2,4-D",f681eb3c-854a-4f78-bcfe-76dfbcf9df3c,soil|agricultural,kg,0000094-75-7,0.215820087144
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,2-Propanol,697667f9-d58c-4a64-99e3-30d24d7f91a2,water|ground-,kg,0000067-63-0,7.51657556767e-07
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,2-Propanol,56217fe7-9437-4131-9ae2-e4c4b07b3a64,"water|ground-, long-term",kg,0000067-63-0,7.51657556767e-07
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,2-Propanol,5b33703d-d6a1-4bde-88e7-3b90b4d45550,water|ocean,kg,0000067-63-0,4.24043410918e-08
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,2-Propanol,caeb15fa-9711-4d37-99a2-d12c7823b8bc,water|surface water,kg,0000067-63-0,7.51657556767e-07
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,2-Propanol,e92a1310-603c-4346-85b8-e4e3192cd75c,water|unspecified,kg,0000067-63-0,7.51657556767e-07
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Abamectin,3166d308-cc57-4d31-b42e-63c7eada821f,soil|agricultural,kg,0071751-41-2,6.63972866725
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acenaphthene,0bc097f2-00ee-416f-a275-2c05d1e6d482,water|ground-,kg,0000083-32-9,1.85560419717e-05
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acenaphthene,26eb22d8-e0cf-45a6-b09e-b8609fe6c8eb,"water|ground-, long-term",kg,0000083-32-9,1.85560419717e-05
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acenaphthene,a6ad3fc7-c019-454f-a899-43be7913a598,water|ocean,kg,0000083-32-9,3.5524343405e-07
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acenaphthene,5c238e5f-97c8-4837-8d67-48899ddd43be,water|surface water,kg,0000083-32-9,1.85560419717e-05
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acenaphthene,8732d8b5-7f41-498c-be37-5bcd7a802ee6,water|unspecified,kg,0000083-32-9,1.85560419717e-05
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acephate,cdcdbfc9-3d5f-4e78-8033-8dbecbb2cfec,soil|agricultural,kg,0030560-19-1,0.0650506736001
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetaldehyde,55b0bc94-7f43-4930-ad57-25af3f892757,"air|low population density, long-term",kg,0000075-07-0,0.000137788648313
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetaldehyde,43a7e8ef-634e-401b-92f1-32cb42f226ac,air|lower stratosphere + upper troposphere,kg,0000075-07-0,0.000137788648313
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetaldehyde,fc9f9a81-c4b9-4dce-bc20-9f04e05ca2f1,air|non-urban air or from high stacks,kg,0000075-07-0,0.000137788648313
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetaldehyde,e3e8f6a2-c45e-4685-9859-698b2eadaf5b,air|unspecified,kg,0000075-07-0,0.000180702932898
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetaldehyde,5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f,air|urban air close to ground,kg,0000075-07-0,0.000180702932898
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetic acid,e9acbffd-7211-42e2-9f3a-cd9556e21132,"air|low population density, long-term",kg,0000064-19-7,0.0153478177311
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetic acid,f53378fe-3e04-4f74-9a08-bea2a6332b67,air|lower stratosphere + upper troposphere,kg,0000064-19-7,0.0153478177311
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetic acid,c5cc0625-6e01-4639-b053-5d1d9d22a53c,air|non-urban air or from high stacks,kg,0000064-19-7,0.0153478177311
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetic acid,d157416d-db9b-4f88-a7f3-a9a5f1ea88f2,air|unspecified,kg,0000064-19-7,0.0175041034762
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetic acid,b9b68c0c-053e-41de-ab72-8dfe1c3f5755,air|urban air close to ground,kg,0000064-19-7,0.0175041034762
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetic acid,78a0fa8b-3e30-45c2-ad50-290c3b608c84,water|ground-,kg,0000064-19-7,4.29540408681e-05
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetic acid,27db07bb-7d5b-4e63-8f16-401781188148,"water|ground-, long-term",kg,0000064-19-7,4.29540408681e-05
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetic acid,18452b50-8c57-41d2-bbdd-37996c455771,water|ocean,kg,0000064-19-7,2.00342724492e-06
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetic acid,061c7a46-3728-48fa-8240-7a8841e6ca6f,water|surface water,kg,0000064-19-7,4.29540408681e-05
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetic acid,3cea246d-706f-4280-ac52-3c7590e8fa7f,water|unspecified,kg,0000064-19-7,4.29540408681e-05
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetone,e91093c9-20df-49c5-8960-eabf05af6832,"air|low population density, long-term",kg,0000067-64-1,8.47230341542e-06
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetone,a765d3a1-65c6-4544-8487-b3104b937568,air|lower stratosphere + upper troposphere,kg,0000067-64-1,8.47230341542e-06
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetone,7a2d7097-20c4-4b5f-b2ee-bcfc2ba1378f,air|non-urban air or from high stacks,kg,0000067-64-1,8.47230341542e-06
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetone,f3d5fd96-8805-4d3d-867a-5df27975b07f,air|unspecified,kg,0000067-64-1,9.8277654997e-06
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetone,1f130425-11f9-4ec2-8d2f-d282acaacf5c,air|urban air close to ground,kg,0000067-64-1,9.8277654997e-06
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetone,d60f27da-703f-4c04-bad4-7e978a375205,water|ground-,kg,0000067-64-1,3.54854118209e-06
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetone,f2cdedb9-7723-4308-b2ef-ad20c93018af,"water|ground-, long-term",kg,0000067-64-1,3.54854118209e-06
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetone,62ebd5d6-153a-463d-88c0-9fee5658d316,water|ocean,kg,0000067-64-1,2.75887726756e-07
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetone,0e8f17d0-3e52-4f6f-bef9-60f6007a7aab,water|surface water,kg,0000067-64-1,3.54854118209e-06
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetone,d78a3d22-4bed-4ad3-8a9c-1cc4645188d0,water|unspecified,kg,0000067-64-1,3.54854118209e-06
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetonitrile,3f49a574-0d24-47ba-a669-c4f2f5be5f13,"air|low population density, long-term",kg,0000075-05-8,0.000103646757003
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetonitrile,590475cc-79c7-4398-8fc7-d2bcb396d9ee,air|lower stratosphere + upper troposphere,kg,0000075-05-8,0.000103646757003
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetonitrile,f7553ef8-e4f3-4b9c-98be-81fa36315648,air|non-urban air or from high stacks,kg,0000075-05-8,0.000103646757003
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetonitrile,ff45a199-18e0-4777-886b-e2d0422d2f82,air|unspecified,kg,0000075-05-8,0.000119953603879
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetonitrile,56dea244-390c-4f56-8b11-c8de2902816e,air|urban air close to ground,kg,0000075-05-8,0.000119953603879
"ReCiPe Endpoint (I,A)",0a2913a41a324abcb79074bb98b44f27,ecosystem quality|terrestrial ecotoxicity,4a3f31783250405796e6ee0cc75eecd1,points,Acetonitrile,f3841066-b23d-4c7a-94bd-791c55bd3e0f,water|ground-,kg,0000075-05-8,8.0048261148e-05
