Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,"2,4-D",f681eb3c-854a-4f78-bcfe-76dfbcf9df3c,soil|agricultural,kg,0000094-75-7,125.94
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,2-Methyl-1-propanol,88be8e1b-1bdc-46e1-9856-187a95b3d872,"air|low population density, long-term",kg,0000078-83-1,0.34752
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,2-Methyl-1-propanol,76e532b3-25c7-487e-894c-5bf306cdd012,air|non-urban air or from high stacks,kg,0000078-83-1,0.34752
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,2-Methyl-1-propanol,47bee45d-6d2b-48a6-a0c8-fcb8debc7f5d,air|unspecified,kg,0000078-83-1,0.34752
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,2-Methyl-1-propanol,e2d860e3-1038-4386-a5f1-25ad75d18bbd,air|urban air close to ground,kg,0000078-83-1,0.34752
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,2-Methyl-1-propanol,79240a49-80cf-4be4-b5c2-bfdd3f4aa249,water|surface water,kg,0000078-83-1,0.050614
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,2-Methyl-1-propanol,446e7a93-6ac4-4bdf-b97d-03f683c7488c,water|unspecified,kg,0000078-83-1,0.050614
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,2-Propanol,326b94e8-aea0-4bd4-8a50-63bf283882a8,"air|low population density, long-term",kg,0000067-63-0,0.012034
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,2-Propanol,ed1aff41-0bfc-48b8-8250-840c0a2f6961,air|non-urban air or from high stacks,kg,0000067-63-0,0.012034
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,2-Propanol,479edec6-763c-49fc-83f8-49780f08cf29,air|unspecified,kg,0000067-63-0,0.012034
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,2-Propanol,cbf58f64-9286-406f-8dcb-ef1d81eec980,air|urban air close to ground,kg,0000067-63-0,0.012034
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,2-Propanol,caeb15fa-9711-4d37-99a2-d12c7823b8bc,water|surface water,kg,0000067-63-0,0.0057825
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,2-Propanol,e92a1310-603c-4346-85b8-e4e3192cd75c,water|unspecified,kg,0000067-63-0,0.0057825
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,4-Methyl-2-pentanone,497e2e7c-0e1a-4b9f-a94e-d63d5e49dcf8,"air|low population density, long-term",kg,0000108-10-1,0.7926
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,4-Methyl-2-pentanone,6ed53433-96ff-402c-87d0-52b8271aadac,air|non-urban air or from high stacks,kg,0000108-10-1,0.7926
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,4-Methyl-2-pentanone,53214ef0-3cc1-4166-920b-08ca46f7c457,air|unspecified,kg,0000108-10-1,0.7926
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,4-Methyl-2-pentanone,9fbec2f4-6b42-4e63-9573-14e04befe20f,air|urban air close to ground,kg,0000108-10-1,0.7926
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,4-Methyl-2-pentanone,1a19ad61-abd0-4d42-9828-8fae315c0b06,water|surface water,kg,0000108-10-1,0.52176
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,4-Methyl-2-pentanone,f9d36529-abde-4ed2-a82c-d365ae2c713f,water|unspecified,kg,0000108-10-1,0.52176
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,Abamectin,3166d308-cc57-4d31-b42e-63c7eada821f,soil|agricultural,kg,0071751-41-2,42.446
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,Acenaphthene,0555dc8e-d8b3-4da1-afaa-a2144758d590,"air|low population density, long-term",kg,0000083-32-9,0.17559
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,Acenaphthene,922a7ccf-3338-43ad-bd7e-77d51df051ab,air|non-urban air or from high stacks,kg,0000083-32-9,0.17559
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,Acenaphthene,1f4afa32-a9a2-40da-8396-104452cb637f,air|unspecified,kg,0000083-32-9,0.17559
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,Acenaphthene,99c07b66-c039-4896-866d-06abdaa9d46a,air|urban air close to ground,kg,0000083-32-9,0.17559
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,Acenaphthene,5c238e5f-97c8-4837-8d67-48899ddd43be,water|surface water,kg,0000083-32-9,1.7588
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,Acenaphthene,8732d8b5-7f41-498c-be37-5bcd7a802ee6,water|unspecified,kg,0000083-32-9,1.7588
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,Acephate,cdcdbfc9-3d5f-4e78-8033-8dbecbb2cfec,soil|agricultural,kg,0030560-19-1,0.87414
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,Acetaldehyde,55b0bc94-7f43-4930-ad57-25af3f892757,"air|low population density, long-term",kg,0000075-07-0,4.2491
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,Acetaldehyde,fc9f9a81-c4b9-4dce-bc20-9f04e05ca2f1,air|non-urban air or from high stacks,kg,0000075-07-0,4.2491
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,Acetaldehyde,e3e8f6a2-c45e-4685-9859-698b2eadaf5b,air|unspecified,kg,0000075-07-0,4.2491
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,Acetaldehyde,5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f,air|urban air close to ground,kg,0000075-07-0,4.2491
TRACI,a2897e6e490e4cf381334f09cbe9c57d,human health|non-carcinogenics,cee8a7f1c27f4ca9881197430536ec6b,kg toluene-Eq,Acetaldehyde,7a65d41a-561b-4090-bd81-13672abce16f,water|surface water,kg,0000075-07-0,7.1066
