Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
cumulative energy demand,c7d3a20769a74a8ab048ac259349b491,"fossil|non-renewable energy resources, fossil",12c9343f1dde4de5b313f183ee328825,MJ-Eq,"Coal, brown, in ground",024c9722-1e88-412b-8c4b-10c532be8dca,natural resource|in ground,kg,,9.9
cumulative energy demand,c7d3a20769a74a8ab048ac259349b491,"fossil|non-renewable energy resources, fossil",12c9343f1dde4de5b313f183ee328825,MJ-Eq,"Coal, hard, unspecified, in ground",b6d0042d-0ef8-49ed-9162-a07ff1ccf750,natural resource|in ground,kg,,19.1
cumulative energy demand,c7d3a20769a74a8ab048ac259349b491,"fossil|non-renewable energy resources, fossil",12c9343f1dde4de5b313f183ee328825,MJ-Eq,"Gas, mine, off-gas, process, coal mining",3ed5f377-344f-423a-b5ec-9a9a1162b944,natural resource|in ground,m3,0008006-14-2,39.8
cumulative energy demand,c7d3a20769a74a8ab048ac259349b491,"fossil|non-renewable energy resources, fossil",12c9343f1dde4de5b313f183ee328825,MJ-Eq,"Gas, natural, in ground",7c337428-fb1b-45c7-bbb2-2ee4d29e17ba,natural resource|in ground,m3,0008006-14-2,38.293
cumulative energy demand,c7d3a20769a74a8ab048ac259349b491,"fossil|non-renewable energy resources, fossil",12c9343f1dde4de5b313f183ee328825,MJ-Eq,"Oil, crude, in ground",88d06db9-59a1-4719-9174-afeb1fa4026a,natural resource|in ground,kg,,45.8
cumulative energy demand,c7d3a20769a74a8ab048ac259349b491,"fossil|non-renewable energy resources, fossil",12c9343f1dde4de5b313f183ee328825,MJ-Eq,"Peat, in ground",c5035ce2-5ee5-431f-a287-4b25da42be74,natural resource|biotic,kg,,9.9
cumulative energy demand,c7d3a20769a74a8ab048ac259349b491,"nuclear|non-renewable energy resources, nuclear",1154ee4fc1394c6682421cb3ff523055,MJ-Eq,"Uranium, in ground",2ba5e39b-adb6-4767-a51d-90c1cf32fe98,natural resource|in ground,kg,0007440-61-1,560000.0
cumulative energy demand,c7d3a20769a74a8ab048ac259349b491,"biomass|renewable energy resources, biomass",3586c1d4b13142d3868e31749eb64d97,MJ-Eq,"Energy, gross calorific value, in biomass",01c12fca-ad8b-4902-8b48-2d5afe3d3a0f,natural resource|biotic,MJ,,1.0
cumulative energy demand,c7d3a20769a74a8ab048ac259349b491,"water|renewable energy resources, potential (in barrage water), converted",106c5ede3acc4b6a85c171fa0f5eee1f,MJ-Eq,"Energy, potential (in hydropower reservoir), converted",c0dd7ccd-9e7a-42b3-b899-dfd18c2150ca,natural resource|in water,MJ,,1.0
cumulative energy demand,c7d3a20769a74a8ab048ac259349b491,"geothermal|renewable energy resources, geothermal, converted",9b79532b171445cf90b3c007a948ef0d,MJ-Eq,"Energy, geothermal, converted",8bc09c04-2190-4ee2-9ee2-ae988ccd4e0c,natural resource|in ground,MJ,,1.0
cumulative energy demand,c7d3a20769a74a8ab048ac259349b491,"solar|renewable energy resources, solar, converted",2ed4c572b3ae4202a78819094000f2f2,MJ-Eq,"Energy, solar, converted",a7ff17d4-d3fe-4a70-9f2e-392b34630772,natural resource|in air,MJ,,1.0
cumulative energy demand,c7d3a20769a74a8ab048ac259349b491,"wind|renewable energy resources, kinetic (in wind), converted",1d37dd32c12343d7a61bc2c7c001944b,MJ-Eq,"Energy, kinetic (in wind), converted",57c71b25-4663-4fad-9167-7ce5be3e8268,natural resource|in air,MJ,,1.0
cumulative energy demand,c7d3a20769a74a8ab048ac259349b491,"primary forest|non-renewable energy resources, primary forest",7a81a7ed457249fabd144aa705d67001,MJ-Eq,"Energy, gross calorific value, in biomass, primary forest",8842042d-7f07-45f8-bf43-fa83833d75de,natural resource|biotic,MJ,,1.0
