Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
cumulative exergy demand,bc11e4a4caae488789a1fd2582fd2b8a,"solar|renewable energy resources, solar, converted",3837cedda7b341c78a80e2eac22f83b2,MJ-Eq,"Energy, solar, converted",a7ff17d4-d3fe-4a70-9f2e-392b34630772,natural resource|in air,MJ,,0.93
cumulative exergy demand,bc11e4a4caae488789a1fd2582fd2b8a,"nuclear|non-renewable energy resources, nuclear",64868b90dedd4b48a55ada3f71faed72,MJ-Eq,"Uranium, in ground",2ba5e39b-adb6-4767-a51d-90c1cf32fe98,natural resource|in ground,kg,0007440-61-1,560000.0
cumulative exergy demand,bc11e4a4caae488789a1fd2582fd2b8a,"biomass|renewable energy resources, biomass",c249ac5e5dc74745b74fa8bfda2c1479,MJ-Eq,"Energy, gross calorific value, in biomass",01c12fca-ad8b-4902-8b48-2d5afe3d3a0f,natural resource|biotic,MJ,,1.05
cumulative exergy demand,bc11e4a4caae488789a1fd2582fd2b8a,"metals|non-renewable material resources, metals",1a88f7519d444a2bb39a360ee465a9eb,MJ-Eq,"Aluminium, 24% in bauxite, 11% in crude ore, in ground",8bc65fca-548d-4831-b102-391bbdd6bc8c,natural resource|in ground,kg,0001318-16-7,5.73
cumulative exergy demand,bc11e4a4caae488789a1fd2582fd2b8a,"metals|non-renewable material resources, metals",1a88f7519d444a2bb39a360ee465a9eb,MJ-Eq,"Aluminium, in ground",a45cd247-3532-4e27-bddc-b519fdb5e08f,natural resource|in ground,kg,0007429-90-5,5.73
cumulative exergy demand,bc11e4a4caae488789a1fd2582fd2b8a,"metals|non-renewable material resources, metals",1a88f7519d444a2bb39a360ee465a9eb,MJ-Eq,"Cadmium, 0.30% in sulfide, Cd 0.18%, Pb, Zn, Ag, In, in ground",621b1cf1-9b47-4c44-b71e-ebeb9afd9bbc,natural resource|in ground,kg,0007440-43-9,8.58
cumulative exergy demand,bc11e4a4caae488789a1fd2582fd2b8a,"metals|non-renewable material resources, metals",1a88f7519d444a2bb39a360ee465a9eb,MJ-Eq,"Cerium, 24% in bastnasite, 2.4% in crude ore, in ground",7a636bea-94c0-4774-a791-2512b7fbda94,natural resource|in ground,kg,0007440-45-1,26.25
cumulative exergy demand,bc11e4a4caae488789a1fd2582fd2b8a,"metals|non-renewable material resources, metals",1a88f7519d444a2bb39a360ee465a9eb,MJ-Eq,"Chromium, 25.5% in chromite, 11.6% in crude ore, in ground",ef6dd09f-bddc-49b4-a207-dbaec2f07bb5,natural resource|in ground,kg,0007440-47-3,5.43
cumulative exergy demand,bc11e4a4caae488789a1fd2582fd2b8a,"metals|non-renewable material resources, metals",1a88f7519d444a2bb39a360ee465a9eb,MJ-Eq,"Cobalt, in ground",d0779a5e-6969-4144-954e-ceb81fb83f15,natural resource|in ground,kg,0007440-48-4,192.5
cumulative exergy demand,bc11e4a4caae488789a1fd2582fd2b8a,"metals|non-renewable material resources, metals",1a88f7519d444a2bb39a360ee465a9eb,MJ-Eq,"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground",1aee4aa7-32e0-48e7-a6b5-73d8acf672d3,natural resource|in ground,kg,0007440-50-8,196.14
cumulative exergy demand,bc11e4a4caae488789a1fd2582fd2b8a,"metals|non-renewable material resources, metals",1a88f7519d444a2bb39a360ee465a9eb,MJ-Eq,"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground",1b35070a-eb57-4f0f-a27f-5ba181ff0d4d,natural resource|in ground,kg,0007440-50-8,232.3
