Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Ammonia,8494ed3c-0416-4aa5-b100-51a2b2bcadbd,air|lower stratosphere + upper troposphere,kg,0007664-41-7,1.5175
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Ammonia,0f440cc0-0f74-446d-99d6-8ff0e97a2444,air|non-urban air or from high stacks,kg,0007664-41-7,1.5175
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Ammonia,87883a4e-1e3e-4c9d-90c0-f1bea36f8014,air|unspecified,kg,0007664-41-7,1.5175
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Ammonia,9990b51b-7023-4700-bca0-1a32ef921f74,air|urban air close to ground,kg,0007664-41-7,1.5175
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Nitrate,0e9e6b81-0a68-4350-8368-566c083bd3e0,air|lower stratosphere + upper troposphere,kg,0014797-55-8,0.55682
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Nitrate,cbd70647-6237-462a-9d01-d197a8b08506,air|non-urban air or from high stacks,kg,0014797-55-8,0.55682
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Nitrate,5e7cf95c-9cc3-4479-89af-55377b3db99c,air|unspecified,kg,0014797-55-8,0.55682
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Nitrate,15ca802b-f541-44aa-bd33-35560a053193,air|urban air close to ground,kg,0014797-55-8,0.55682
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Nitrogen oxides,4841a0fe-c250-4a39-94a1-1bc31426c0f1,air|lower stratosphere + upper troposphere,kg,0011104-93-1,0.55682
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Nitrogen oxides,77357947-ccc5-438e-9996-95e65e1e1bce,air|non-urban air or from high stacks,kg,0011104-93-1,0.55682
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Nitrogen oxides,c1b91234-6f24-417b-8309-46111d09c457,air|unspecified,kg,0011104-93-1,0.55682
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Nitrogen oxides,d068f3e2-b033-417b-a359-ca4f25da9731,air|urban air close to ground,kg,0011104-93-1,0.55682
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Sulfate,d64c693d-aa5a-40de-a250-ed9d24b90542,air|lower stratosphere + upper troposphere,kg,0014808-79-8,0.10146
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Sulfate,006aa3f7-59ba-450f-aa45-a2b2d1752647,air|non-urban air or from high stacks,kg,0014808-79-8,0.10146
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Sulfate,9b00c244-fcce-4d38-922b-601a81f2ba34,air|unspecified,kg,0014808-79-8,0.10146
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Sulfate,826677aa-8347-4494-85da-a26fe3e1e824,air|urban air close to ground,kg,0014808-79-8,0.10146
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Sulfur dioxide,16521d00-4b6f-464f-b5dd-8da4a27b15ca,air|lower stratosphere + upper troposphere,kg,0007446-09-5,0.10146
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Sulfur dioxide,78c3efe4-421c-4d30-82e4-b97ac5124993,air|non-urban air or from high stacks,kg,0007446-09-5,0.10146
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Sulfur dioxide,fd7aa71c-508c-480d-81a6-8052aad92646,air|unspecified,kg,0007446-09-5,0.10146
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Sulfur dioxide,8c52f40c-69b7-4538-8923-b371523c71f5,air|urban air close to ground,kg,0007446-09-5,0.10146
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Sulfuric acid,3caec0e2-2d07-4463-abae-bef6a0d4bbdb,air|lower stratosphere + upper troposphere,kg,0007664-93-9,0.10146
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Sulfuric acid,5c9d8310-f7e1-4e98-8e73-7eece0435676,air|non-urban air or from high stacks,kg,0007664-93-9,0.10146
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Sulfuric acid,99c65c6a-6871-40ba-af79-5bd6851688e4,air|unspecified,kg,0007664-93-9,0.10146
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|acidification & eutrophication w/o LT,f5dc335eaf234a10b77cbc6eaeb26b6a,points,Sulfuric acid,7ecc2b66-8dde-4266-8832-f492f564377b,air|urban air close to ground,kg,0007664-93-9,0.10146
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|ecotoxicity w/o LT,f82a0d8f45324db9bd9e565190494f95,points,"2,4-D",f681eb3c-854a-4f78-bcfe-76dfbcf9df3c,soil|agricultural,kg,0000094-75-7,1.2378e-05
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|ecotoxicity w/o LT,f82a0d8f45324db9bd9e565190494f95,points,Acenaphthene,f6432a5a-eb35-4395-9909-5d0e17296681,air|lower stratosphere + upper troposphere,kg,0000083-32-9,7.6023e-05
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|ecotoxicity w/o LT,f82a0d8f45324db9bd9e565190494f95,points,Acenaphthene,922a7ccf-3338-43ad-bd7e-77d51df051ab,air|non-urban air or from high stacks,kg,0000083-32-9,7.6023e-05
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|ecotoxicity w/o LT,f82a0d8f45324db9bd9e565190494f95,points,Acenaphthene,1f4afa32-a9a2-40da-8396-104452cb637f,air|unspecified,kg,0000083-32-9,7.6023e-05
"eco-indicator 99, (E,E) w/o LT (superseded)",2f772240de654004a52a22e763f1beed,ecosystem quality w/o LT|ecotoxicity w/o LT,f82a0d8f45324db9bd9e565190494f95,points,Acenaphthene,99c07b66-c039-4896-866d-06abdaa9d46a,air|urban air close to ground,kg,0000083-32-9,7.6023e-05
