Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
"eco-indicator 99, (H,A) (superseded)",82e8d0e1c1704c2cbe137cb574ac8e4d,ecosystem quality|acidification & eutrophication,942fafd0924542bb98fd8ac0da391752,points,Ammonia,2b50f643-216a-412b-a0e5-5946867aa2ed,"air|low population density, long-term",kg,0007664-41-7,1.214
"eco-indicator 99, (H,A) (superseded)",82e8d0e1c1704c2cbe137cb574ac8e4d,ecosystem quality|acidification & eutrophication,942fafd0924542bb98fd8ac0da391752,points,Ammonia,8494ed3c-0416-4aa5-b100-51a2b2bcadbd,air|lower stratosphere + upper troposphere,kg,0007664-41-7,1.214
"eco-indicator 99, (H,A) (superseded)",82e8d0e1c1704c2cbe137cb574ac8e4d,ecosystem quality|acidification & eutrophication,942fafd0924542bb98fd8ac0da391752,points,Ammonia,0f440cc0-0f74-446d-99d6-8ff0e97a2444,air|non-urban air or from high stacks,kg,0007664-41-7,1.214
"eco-indicator 99, (H,A) (superseded)",82e8d0e1c1704c2cbe137cb574ac8e4d,ecosystem quality|acidification & eutrophication,942fafd0924542bb98fd8ac0da391752,points,Ammonia,87883a4e-1e3e-4c9d-90c0-f1bea36f8014,air|unspecified,kg,0007664-41-7,1.214
"eco-indicator 99, (H,A) (superseded)",82e8d0e1c1704c2cbe137cb574ac8e4d,ecosystem quality|acidification & eutrophication,942fafd0924542bb98fd8ac0da391752,points,Ammonia,9990b51b-7023-4700-bca0-1a32ef921f74,air|urban air close to ground,kg,0007664-41-7,1.214
"eco-indicator 99, (H,A) (superseded)",82e8d0e1c1704c2cbe137cb574ac8e4d,ecosystem quality|acidification & eutrophication,942fafd0924542bb98fd8ac0da391752,points,Nitrate,205617ae-ebc5-4245-8df6-8710d5d40615,"air|low population density, long-term",kg,0014797-55-8,0.44546
"eco-indicator 99, (H,A) (superseded)",82e8d0e1c1704c2cbe137cb574ac8e4d,ecosystem quality|acidification & eutrophication,942fafd0924542bb98fd8ac0da391752,points,Nitrate,0e9e6b81-0a68-4350-8368-566c083bd3e0,air|lower stratosphere + upper troposphere,kg,0014797-55-8,0.44546
"eco-indicator 99, (H,A) (superseded)",82e8d0e1c1704c2cbe137cb574ac8e4d,ecosystem quality|acidification & eutrophication,942fafd0924542bb98fd8ac0da391752,points,Nitrate,cbd70647-6237-462a-9d01-d197a8b08506,air|non-urban air or from high stacks,kg,0014797-55-8,0.44546
"eco-indicator 99, (H,A) (superseded)",82e8d0e1c1704c2cbe137cb574ac8e4d,ecosystem quality|acidification & eutrophication,942fafd0924542bb98fd8ac0da391752,points,Nitrate,5e7cf95c-9cc3-4479-89af-55377b3db99c,air|unspecified,kg,0014797-55-8,0.44546
"eco-indicator 99, (H,A) (superseded)",82e8d0e1c1704c2cbe137cb574ac8e4d,ecosystem quality|acidification & eutrophication,942fafd0924542bb98fd8ac0da391752,points,Nitrate,15ca802b-f541-44aa-bd33-35560a053193,air|urban air close to ground,kg,0014797-55-8,0.44546
"eco-indicator 99, (H,A) (superseded)",82e8d0e1c1704c2cbe137cb574ac8e4d,ecosystem quality|acidification & eutrophication,942fafd0924542bb98fd8ac0da391752,points,Nitrogen oxides,9115356e-a534-4329-9ec6-d9208720241b,"air|low population density, long-term",kg,0011104-93-1,0.44546
"eco-indicator 99, (H,A) (superseded)",82e8d0e1c1704c2cbe137cb574ac8e4d,ecosystem quality|acidification & eutrophication,942fafd0924542bb98fd8ac0da391752,points,Nitrogen oxides,4841a0fe-c250-4a39-94a1-1bc31426c0f1,air|lower stratosphere + upper troposphere,kg,0011104-93-1,0.44546
"eco-indicator 99, (H,A) (superseded)",82e8d0e1c1704c2cbe137cb574ac8e4d,ecosystem quality|acidification & eutrophication,942fafd0924542bb98fd8ac0da391752,points,Nitrogen oxides,77357947-ccc5-438e-9996-95e65e1e1bce,air|non-urban air or from high stacks,kg,0011104-93-1,0.44546
"eco-indicator 99, (H,A) (superseded)",82e8d0e1c1704c2cbe137cb574ac8e4d,ecosystem quality|acidification & eutrophication,942fafd0924542bb98fd8ac0da391752,points,Nitrogen oxides,c1b91234-6f24-417b-8309-46111d09c457,air|unspecified,kg,0011104-93-1,0.44546
"eco-indicator 99, (H,A) (superseded)",82e8d0e1c1704c2cbe137cb574ac8e4d,ecosystem quality|acidification & eutrophication,942fafd0924542bb98fd8ac0da391752,points,Nitrogen oxides,d068f3e2-b033-417b-a359-ca4f25da9731,air|urban air close to ground,kg,0011104-93-1,0.44546
"eco-indicator 99, (H,A) (superseded)",82e8d0e1c1704c2cbe137cb574ac8e4d,ecosystem quality|acidification & eutrophication,942fafd0924542bb98fd8ac0da391752,points,Sulfate,a259eb99-e741-49e6-8b3f-8985c018be28,"air|low population density, long-term",kg,0014808-79-8,0.08117
"eco-indicator 99, (H,A) (superseded)",82e8d0e1c1704c2cbe137cb574ac8e4d,ecosystem quality|acidification & eutrophication,942fafd0924542bb98fd8ac0da391752,points,Sulfate,d64c693d-aa5a-40de-a250-ed9d24b90542,air|lower stratosphere + upper troposphere,kg,0014808-79-8,0.08117
"eco-indicator 99, (H,A) (superseded)",82e8d0e1c1704c2cbe137cb574ac8e4d,ecosystem quality|acidification & eutrophication,942fafd0924542bb98fd8ac0da391752,points,Sulfate,006aa3f7-59ba-450f-aa45-a2b2d1752647,air|non-urban air or from high stacks,kg,0014808-79-8,0.08117
