Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
ecological footprint,b476299320d441e49777f1899d0aeb0b,total|nuclear,1dde678901144157a64a7dc36d1d8bb1,m2a,"Uranium, in ground",2ba5e39b-adb6-4767-a51d-90c1cf32fe98,natural resource|in ground,kg,0007440-61-1,109740.0
ecological footprint,b476299320d441e49777f1899d0aeb0b,total|CO2,dde8d12a53ab4802bdaf37116db2d4b7,m2a,"Carbon dioxide, fossil",e259263c-d1f1-449f-bb9b-73c6d0a32a00,"air|low population density, long-term",kg,0000124-38-9,2.6722
ecological footprint,b476299320d441e49777f1899d0aeb0b,total|CO2,dde8d12a53ab4802bdaf37116db2d4b7,m2a,"Carbon dioxide, fossil",16eeda8a-1ea2-408e-ab37-2648495058dd,air|lower stratosphere + upper troposphere,kg,0000124-38-9,2.6722
ecological footprint,b476299320d441e49777f1899d0aeb0b,total|CO2,dde8d12a53ab4802bdaf37116db2d4b7,m2a,"Carbon dioxide, fossil",aa7cac3a-3625-41d4-bc54-33e2cf11ec46,air|non-urban air or from high stacks,kg,0000124-38-9,2.6722
ecological footprint,b476299320d441e49777f1899d0aeb0b,total|CO2,dde8d12a53ab4802bdaf37116db2d4b7,m2a,"Carbon dioxide, fossil",349b29d1-3e58-4c66-98b9-9d1a076efd2e,air|unspecified,kg,0000124-38-9,2.6722
ecological footprint,b476299320d441e49777f1899d0aeb0b,total|CO2,dde8d12a53ab4802bdaf37116db2d4b7,m2a,"Carbon dioxide, fossil",f9749677-9c9f-4678-ab55-c607dfdc2cb9,air|urban air close to ground,kg,0000124-38-9,2.6722
ecological footprint,b476299320d441e49777f1899d0aeb0b,total|CO2,dde8d12a53ab4802bdaf37116db2d4b7,m2a,"Carbon dioxide, from soil or biomass stock",5188df39-2bb8-4826-b469-fa9f86bacc09,air|indoor,kg,0000124-38-9,2.6722
ecological footprint,b476299320d441e49777f1899d0aeb0b,total|CO2,dde8d12a53ab4802bdaf37116db2d4b7,m2a,"Carbon dioxide, from soil or biomass stock",e1c597cc-14cb-4ebb-af07-7a93a5b77d34,"air|low population density, long-term",kg,0000124-38-9,2.6722
ecological footprint,b476299320d441e49777f1899d0aeb0b,total|CO2,dde8d12a53ab4802bdaf37116db2d4b7,m2a,"Carbon dioxide, from soil or biomass stock",6d89125e-e9b7-4d7e-a1fc-ada45dbd8815,air|lower stratosphere + upper troposphere,kg,0000124-38-9,2.6722
ecological footprint,b476299320d441e49777f1899d0aeb0b,total|CO2,dde8d12a53ab4802bdaf37116db2d4b7,m2a,"Carbon dioxide, from soil or biomass stock",78eb1859-abd9-44c6-9ce3-f3b5b33d619c,air|non-urban air or from high stacks,kg,0000124-38-9,2.6722
ecological footprint,b476299320d441e49777f1899d0aeb0b,total|CO2,dde8d12a53ab4802bdaf37116db2d4b7,m2a,"Carbon dioxide, from soil or biomass stock",e4e9febc-07c1-403d-8d3a-6707bb4d96e6,air|unspecified,kg,0000124-38-9,2.6722
