Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|energy resources,6686826c70cd457aa9a377d0c6108282,UBP,"Coal, brown, in ground",024c9722-1e88-412b-8c4b-10c532be8dca,natural resource|in ground,kg,,33.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|energy resources,6686826c70cd457aa9a377d0c6108282,UBP,"Coal, hard, unspecified, in ground",b6d0042d-0ef8-49ed-9162-a07ff1ccf750,natural resource|in ground,kg,,63.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|energy resources,6686826c70cd457aa9a377d0c6108282,UBP,"Energy, geothermal, converted",8bc09c04-2190-4ee2-9ee2-ae988ccd4e0c,natural resource|in ground,MJ,,1.1
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|energy resources,6686826c70cd457aa9a377d0c6108282,UBP,"Energy, gross calorific value, in biomass",01c12fca-ad8b-4902-8b48-2d5afe3d3a0f,natural resource|biotic,MJ,,1.1
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|energy resources,6686826c70cd457aa9a377d0c6108282,UBP,"Energy, gross calorific value, in biomass, primary forest",8842042d-7f07-45f8-bf43-fa83833d75de,natural resource|biotic,MJ,,3.3
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|energy resources,6686826c70cd457aa9a377d0c6108282,UBP,"Energy, kinetic (in wind), converted",57c71b25-4663-4fad-9167-7ce5be3e8268,natural resource|in air,MJ,,1.02
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|energy resources,6686826c70cd457aa9a377d0c6108282,UBP,"Energy, potential (in hydropower reservoir), converted",c0dd7ccd-9e7a-42b3-b899-dfd18c2150ca,natural resource|in water,MJ,,1.05
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|energy resources,6686826c70cd457aa9a377d0c6108282,UBP,"Energy, solar, converted",a7ff17d4-d3fe-4a70-9f2e-392b34630772,natural resource|in air,MJ,,1.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|energy resources,6686826c70cd457aa9a377d0c6108282,UBP,"Gas, mine, off-gas, process, coal mining",3ed5f377-344f-423a-b5ec-9a9a1162b944,natural resource|in ground,m3,0008006-14-2,131.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|energy resources,6686826c70cd457aa9a377d0c6108282,UBP,"Gas, natural, in ground",7c337428-fb1b-45c7-bbb2-2ee4d29e17ba,natural resource|in ground,m3,0008006-14-2,133.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|energy resources,6686826c70cd457aa9a377d0c6108282,UBP,"Oil, crude, in ground",88d06db9-59a1-4719-9174-afeb1fa4026a,natural resource|in ground,kg,,151.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|energy resources,6686826c70cd457aa9a377d0c6108282,UBP,"Uranium, in ground",2ba5e39b-adb6-4767-a51d-90c1cf32fe98,natural resource|in ground,kg,0007440-61-1,1850000.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into groundwater,d22818cb937846799960577a59690a58,UBP,Nitrate,b9291c72-4b1d-4275-8068-4c707dc3ce33,water|ground-,kg,0014797-55-8,27097.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,Acenaphthene,a6ad3fc7-c019-454f-a899-43be7913a598,water|ocean,kg,0000083-32-9,11000000.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,Acenaphthene,5c238e5f-97c8-4837-8d67-48899ddd43be,water|surface water,kg,0000083-32-9,11000000.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,Acenaphthene,8732d8b5-7f41-498c-be37-5bcd7a802ee6,water|unspecified,kg,0000083-32-9,11000000.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,Acenaphthylene,9dc481e4-e4cd-4cb1-a03e-d539f774e958,water|ocean,kg,0000208-96-8,11000000.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,Acenaphthylene,ec4a104f-eab5-4a06-bd0a-e1c34d888718,water|surface water,kg,0000208-96-8,11000000.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,Acenaphthylene,7c02a013-712f-4588-bfd8-247078e0f4d8,water|unspecified,kg,0000208-96-8,11000000.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,"Actinides, radioactive, unspecified",34550110-0552-46d2-b07d-6b9599892278,water|ocean,kBq,,11000.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,Americium-241,58a92690-aa80-4d3c-9443-9b48daa2daa4,water|ocean,kBq,0014596-10-2,29000.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,"Ammonium, ion",bc069d24-fbbd-4c05-8b6e-4089dc8249ae,water|ocean,kg,0014798-03-9,49778.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,"Ammonium, ion",13331e67-6006-48c4-bdb4-340c12010036,water|surface water,kg,0014798-03-9,49778.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,"Ammonium, ion",fb005c47-7b90-41f3-a5ca-f0eb11db354a,water|unspecified,kg,0014798-03-9,49778.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,Antimony-125,6a05e007-ce7e-4dd3-8cb7-54585031b8b5,water|ocean,kBq,0014234-35-6,14.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,"AOX, Adsorbable Organic Halogen as Cl",46e6f5f7-6541-494f-a9bb-66918fb5d592,water|ocean,kg,,200000.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,"AOX, Adsorbable Organic Halogen as Cl",e395a1a3-6915-4b72-a533-ff1a82fc3da1,water|surface water,kg,,200000.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,"AOX, Adsorbable Organic Halogen as Cl",a4f6341b-1762-4222-9024-bfd91f63588f,water|unspecified,kg,,200000.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,"Arsenic, ion",d70b4182-d633-4178-84c0-8854f5f6594b,water|ocean,kg,0017428-41-0,8000000.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,"Arsenic, ion",8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,water|surface water,kg,0017428-41-0,8000000.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,"Arsenic, ion",e1bd008f-c3c2-47f1-ab60-35e1a842acc0,water|unspecified,kg,0017428-41-0,8000000.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,"Benzene, chloro-",57f4185b-38de-46af-a759-9333e0ba29c5,water|ocean,kg,0000108-90-7,63050.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,"Benzene, chloro-",e38eb567-b080-4f80-894c-f6984eec5119,water|surface water,kg,0000108-90-7,63050.0
ecological scarcity 2006 (superseded),7204d6173af74fefb26c61be5c7cdea0,total|emission into surface water,65dac691594a4a23921da6337bf76dde,UBP,"Benzene, chloro-",7f886a09-50b2-49c1-8fdf-d330c90556a1,water|unspecified,kg,0000108-90-7,63050.0
