Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
"selected LCI results, additional",98735c7721bd456489d138d953c80dae,"total|oils, unspecified",1a88e15f2d43469cba32f77be782e52f,kg,"Oils, non-fossil",79459b74-727a-465f-b0cb-aae38d1d39cc,soil|agricultural,kg,,1.0
"selected LCI results, additional",98735c7721bd456489d138d953c80dae,"total|oils, unspecified",1a88e15f2d43469cba32f77be782e52f,kg,"Oils, non-fossil",d41ee922-fa80-45e3-a317-3e9b72ee385d,soil|forestry,kg,,1.0
"selected LCI results, additional",98735c7721bd456489d138d953c80dae,"total|oils, unspecified",1a88e15f2d43469cba32f77be782e52f,kg,"Oils, non-fossil",be4835bf-5252-48c1-be48-14f59d533bbd,soil|industrial,kg,,1.0
"selected LCI results, additional",98735c7721bd456489d138d953c80dae,"total|oils, unspecified",1a88e15f2d43469cba32f77be782e52f,kg,"Oils, non-fossil",c161d9b4-2237-4053-b549-9e0cfc201e0d,soil|unspecified,kg,,1.0
"selected LCI results, additional",98735c7721bd456489d138d953c80dae,"total|oils, unspecified",1a88e15f2d43469cba32f77be782e52f,kg,"Oils, unspecified",85403ceb-612c-494a-bcab-901946278f58,soil|agricultural,kg,,1.0
"selected LCI results, additional",98735c7721bd456489d138d953c80dae,"total|oils, unspecified",1a88e15f2d43469cba32f77be782e52f,kg,"Oils, unspecified",7538ab50-2ef6-4e49-880d-48d5b283a79b,soil|forestry,kg,,1.0
"selected LCI results, additional",98735c7721bd456489d138d953c80dae,"total|oils, unspecified",1a88e15f2d43469cba32f77be782e52f,kg,"Oils, unspecified",e9bf9e2d-4bd1-4679-86ff-e34f6b750ea0,soil|industrial,kg,,1.0
"selected LCI results, additional",98735c7721bd456489d138d953c80dae,"total|oils, unspecified",1a88e15f2d43469cba32f77be782e52f,kg,"Oils, unspecified",21f77eaa-6f3e-426d-8932-fde33cd936d6,soil|unspecified,kg,,1.0
"selected LCI results, additional",98735c7721bd456489d138d953c80dae,"total|oils, unspecified",1a88e15f2d43469cba32f77be782e52f,kg,"Oils, unspecified",68ba42b2-62fc-49c1-b9d6-e3bda8b179ec,water|ground-,kg,,1.0
"selected LCI results, additional",98735c7721bd456489d138d953c80dae,"total|oils, unspecified",1a88e15f2d43469cba32f77be782e52f,kg,"Oils, unspecified",3ea439c3-64aa-4c90-a265-188350e7a4a6,"water|ground-, long-term",kg,,1.0
"selected LCI results, additional",98735c7721bd456489d138d953c80dae,"total|oils, unspecified",1a88e15f2d43469cba32f77be782e52f,kg,"Oils, unspecified",5d830756-4153-4cc9-ade4-69f8c19e150f,water|ocean,kg,,1.0
"selected LCI results, additional",98735c7721bd456489d138d953c80dae,"total|oils, unspecified",1a88e15f2d43469cba32f77be782e52f,kg,"Oils, unspecified",82c27b2a-69a8-4b1e-ad4e-4de9475630c6,water|surface water,kg,,1.0
"selected LCI results, additional",98735c7721bd456489d138d953c80dae,"total|oils, unspecified",1a88e15f2d43469cba32f77be782e52f,kg,"Oils, unspecified",6da0e891-3648-43a5-b0cf-f1872c57db8d,water|unspecified,kg,,1.0
"selected LCI results, additional",98735c7721bd456489d138d953c80dae,"total|heat, waste",6ca99a98d80f4d72a8346d107a9f82f2,MJ,"Heat, waste",c377b25d-c52c-4b0f-aa2a-8c51ff1dab31,"air|low population density, long-term",MJ,,1.0
"selected LCI results, additional",98735c7721bd456489d138d953c80dae,"total|heat, waste",6ca99a98d80f4d72a8346d107a9f82f2,MJ,"Heat, waste",ef7b0b7e-16e2-4e14-af28-94d9dd3c675d,air|lower stratosphere + upper troposphere,MJ,,1.0
"selected LCI results, additional",98735c7721bd456489d138d953c80dae,"total|heat, waste",6ca99a98d80f4d72a8346d107a9f82f2,MJ,"Heat, waste",07f704a2-2746-4364-bcfd-606cefc30715,air|non-urban air or from high stacks,MJ,,1.0
"selected LCI results, additional",98735c7721bd456489d138d953c80dae,"total|heat, waste",6ca99a98d80f4d72a8346d107a9f82f2,MJ,"Heat, waste",f2d84834-d0b3-42e5-b41a-f04cc80337a4,air|unspecified,MJ,,1.0
"selected LCI results, additional",98735c7721bd456489d138d953c80dae,"total|heat, waste",6ca99a98d80f4d72a8346d107a9f82f2,MJ,"Heat, waste",b411ec8b-c60a-4235-a3b2-8bf8443cbc55,air|urban air close to ground,MJ,,1.0
