Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Ammonia,9990b51b-7023-4700-bca0-1a32ef921f74,air|urban air close to ground,kg,0007664-41-7,1.6
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Sulfur dioxide,8c52f40c-69b7-4538-8923-b371523c71f5,air|urban air close to ground,kg,0007446-09-5,1.2
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Sulfuric acid,7ecc2b66-8dde-4266-8832-f492f564377b,air|urban air close to ground,kg,0007664-93-9,0.783673469
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Ammonia,0f440cc0-0f74-446d-99d6-8ff0e97a2444,air|non-urban air or from high stacks,kg,0007664-41-7,1.6
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Ammonia,8494ed3c-0416-4aa5-b100-51a2b2bcadbd,air|lower stratosphere + upper troposphere,kg,0007664-41-7,1.6
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Ammonia,87883a4e-1e3e-4c9d-90c0-f1bea36f8014,air|unspecified,kg,0007664-41-7,1.6
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Sulfur dioxide,78c3efe4-421c-4d30-82e4-b97ac5124993,air|non-urban air or from high stacks,kg,0007446-09-5,1.2
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Sulfur dioxide,16521d00-4b6f-464f-b5dd-8da4a27b15ca,air|lower stratosphere + upper troposphere,kg,0007446-09-5,1.2
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Sulfur dioxide,fd7aa71c-508c-480d-81a6-8052aad92646,air|unspecified,kg,0007446-09-5,1.2
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Sulfuric acid,5c9d8310-f7e1-4e98-8e73-7eece0435676,air|non-urban air or from high stacks,kg,0007664-93-9,0.783673469
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Sulfuric acid,3caec0e2-2d07-4463-abae-bef6a0d4bbdb,air|lower stratosphere + upper troposphere,kg,0007664-93-9,0.783673469
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Sulfuric acid,99c65c6a-6871-40ba-af79-5bd6851688e4,air|unspecified,kg,0007664-93-9,0.783673469
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Sulfur trioxide,b00950bc-99cb-4ee2-bbc0-5f878ea170c3,air|urban air close to ground,kg,0007446-11-9,0.96
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Sulfur trioxide,48430c70-95e0-4036-9854-72cc772ac8b2,air|non-urban air or from high stacks,kg,0007446-11-9,0.96
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Sulfur trioxide,aeb3e625-906a-4993-9f02-785f8cfd1ea5,air|lower stratosphere + upper troposphere,kg,0007446-11-9,0.96
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Sulfur trioxide,3268d8df-59cc-4740-a89f-dee8355ad7c3,air|unspecified,kg,0007446-11-9,0.96
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Nitric oxide,17f7e776-7934-54af-8c3c-ed0247cb697b,air|unspecified,kg,0010102-43-9,0.76
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Nitrogen oxides,d068f3e2-b033-417b-a359-ca4f25da9731,air|urban air close to ground,kg,0010102-44-0,0.5
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Nitrogen oxides,77357947-ccc5-438e-9996-95e65e1e1bce,air|non-urban air or from high stacks,kg,0010102-44-0,0.5
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Nitrogen oxides,4841a0fe-c250-4a39-94a1-1bc31426c0f1,air|lower stratosphere + upper troposphere,kg,0010102-44-0,0.5
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,"acidification no LT|acidification (incl. fate, average Europe total, A&B) no LT",7da02f593a8249a99ccbc19cefe795cc,kg SO2-Eq,Nitrogen oxides,c1b91234-6f24-417b-8309-46111d09c457,air|unspecified,kg,0010102-44-0,0.5
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,climate change no LT|global warming potential (GWP100) no LT,60fdb2715e93472d9d1e28343917044a,kg CO2-Eq,"Carbon dioxide, fossil",f9749677-9c9f-4678-ab55-c607dfdc2cb9,air|urban air close to ground,kg,0000124-38-9,1.0
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,climate change no LT|global warming potential (GWP100) no LT,60fdb2715e93472d9d1e28343917044a,kg CO2-Eq,Chloroform,4cadbc9f-0472-4bb9-a942-df5b90e37878,air|urban air close to ground,kg,0000067-66-3,16.0
CML v4.8 2016 no LT,b8355520a26f4b1584782411ec5bb467,climate change no LT|global warming potential (GWP100) no LT,60fdb2715e93472d9d1e28343917044a,kg CO2-Eq,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",fa0c2bee-8dd9-4f8a-8489-b1f3b43de958,air|urban air close to ground,kg,0000811-97-2,1300.0
