Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Aluminium, 24% in bauxite, 11% in crude ore",8bc65fca-548d-4831-b102-391bbdd6bc8c,natural resource|in ground,kg,0001318-16-7,3.4
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,Anhydrite,6df9ea09-115a-4678-9f30-d92c877a46ec,natural resource|in ground,kg,0014798-04-0,170.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Barite, 15% in crude ore",c13beafb-2aed-4a52-b09a-78d28913b6ce,natural resource|in ground,kg,0007727-43-7,460.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,Basalt,ac3a8914-35f0-4c34-a956-f26b3a053e4a,natural resource|in ground,kg,0012765-06-9,1.5
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,Borax,eead2933-c2be-4a53-a0bd-bd33b67e4145,natural resource|in ground,kg,0001330-43-4,2900.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Cadmium, 0.30% in sulfide, Cd 0.18%, Pb, Zn, Ag, In",621b1cf1-9b47-4c44-b71e-ebeb9afd9bbc,natural resource|in ground,kg,0007440-43-9,3500000.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,Calcite,99ee393d-4bd1-4cc8-b0a0-d956865fb7bf,natural resource|in ground,kg,0013397-26-7,19.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Cerium, 24% in bastnasite, 2.4% in crude ore",7a636bea-94c0-4774-a791-2512b7fbda94,natural resource|in ground,kg,0007440-45-1,6600.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Chromium, 25.5% in chromite, 11.6% in crude ore",ef6dd09f-bddc-49b4-a207-dbaec2f07bb5,natural resource|in ground,kg,0007440-47-3,2100.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,Chrysotile,c5f5aeb8-7558-4a0c-9594-27621b9cfbc5,natural resource|in ground,kg,,2.8
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,Cinnabar,15545dca-018d-4f7f-aa1f-796b707180af,natural resource|in ground,kg,0001344-48-5,8100000.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Clay, bentonite",93806a54-46f5-409c-99c5-4144a1e73b5d,natural resource|in ground,kg,0001302-78-9,1.4
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Clay, unspecified",f7519ca9-5ffc-41c3-a33e-806da82cfc0e,natural resource|in ground,kg,,0.82
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Coal, brown",024c9722-1e88-412b-8c4b-10c532be8dca,natural resource|in ground,kg,,170.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Coal, hard, unspecified",b6d0042d-0ef8-49ed-9162-a07ff1ccf750,natural resource|in ground,kg,,180.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,Colemanite,ec72c523-9e1a-466a-98c3-e4098e90fd27,natural resource|in ground,kg,0001318-33-8,4100.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore",1aee4aa7-32e0-48e7-a6b5-73d8acf672d3,natural resource|in ground,kg,0007440-50-8,10000.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore",1b35070a-eb57-4f0f-a27f-5ba181ff0d4d,natural resource|in ground,kg,0007440-50-8,10000.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore",19988f5b-a9a6-48f3-9e8e-150b66a1bf12,natural resource|in ground,kg,0007440-50-8,10000.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore",79df5650-160a-4ab7-a14f-cc8162877f4a,natural resource|in ground,kg,0007440-50-8,10000.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore",ed5ace5c-a203-4816-b33b-9fe0c5f0f519,natural resource|in ground,kg,0007440-50-8,10000.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore",31998285-fb5c-411d-b853-ce78be2a0b49,natural resource|in ground,kg,0007440-50-8,10000.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore",c8f18160-6937-4bb9-ad0c-dffa942ca41e,natural resource|in ground,kg,0007440-50-8,10000.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore",b569dc97-52fe-4e39-9627-183b1002c287,natural resource|in ground,kg,0007440-50-8,10000.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore",73b7f080-b7ae-417c-b740-b4c9eabfb35a,natural resource|in ground,kg,0007440-50-8,10000.0
Crustal Scarcity Indicator 2020,27c7477059d044658340242bd56a0025,material resources: metals/minerals|crustal scarcity potential (CSP),68c190556049416da8c7497e8c7987fb,kg Si-Eq,"Cu, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore",8508a83c-6a37-4159-93cc-21a2645390ab,natural resource|in ground,kg,0007440-50-8,10000.0
