Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,energy resources: non-renewable|exergy content,1a0c199bb6994d8bafd289258cb3c694,MJ-Eq,"Coal, brown",024c9722-1e88-412b-8c4b-10c532be8dca,natural resource|in ground,kg,,10.3
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,energy resources: non-renewable|exergy content,1a0c199bb6994d8bafd289258cb3c694,MJ-Eq,"Coal, hard, unspecified",b6d0042d-0ef8-49ed-9162-a07ff1ccf750,natural resource|in ground,kg,,19.7
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,energy resources: non-renewable|exergy content,1a0c199bb6994d8bafd289258cb3c694,MJ-Eq,Peat,c5035ce2-5ee5-431f-a287-4b25da42be74,natural resource|biotic,kg,,10.3
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,energy resources: non-renewable|exergy content,1a0c199bb6994d8bafd289258cb3c694,MJ-Eq,"Energy, gross calorific value, in biomass, primary forest",8842042d-7f07-45f8-bf43-fa83833d75de,natural resource|biotic,MJ,,1.05
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,energy resources: non-renewable|exergy content,1a0c199bb6994d8bafd289258cb3c694,MJ-Eq,Uranium,2ba5e39b-adb6-4767-a51d-90c1cf32fe98,natural resource|in ground,kg,0007440-61-1,560000.0
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,energy resources: non-renewable|exergy content,1a0c199bb6994d8bafd289258cb3c694,MJ-Eq,"Gas, mine, off-gas, process, coal mining",3ed5f377-344f-423a-b5ec-9a9a1162b944,natural resource|in ground,Sm3,0008006-14-2,37.6
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,energy resources: non-renewable|exergy content,1a0c199bb6994d8bafd289258cb3c694,MJ-Eq,"Gas, natural",7c337428-fb1b-45c7-bbb2-2ee4d29e17ba,natural resource|in ground,Sm3,0008006-14-2,37.6
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,energy resources: non-renewable|exergy content,1a0c199bb6994d8bafd289258cb3c694,MJ-Eq,"Oil, crude",88d06db9-59a1-4719-9174-afeb1fa4026a,natural resource|in ground,kg,,46.7
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,"energy resources: non-renewable, biomass|exergy content",18aff46d04de4a6abfe6c155fced4607,MJ-Eq,"Energy, gross calorific value, in biomass, primary forest",8842042d-7f07-45f8-bf43-fa83833d75de,natural resource|biotic,MJ,,1.05
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,"energy resources: non-renewable, fossil|exergy content",966dab634f4b4cf18dc0e01ed5578655,MJ-Eq,"Coal, brown",024c9722-1e88-412b-8c4b-10c532be8dca,natural resource|in ground,kg,,10.3
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,"energy resources: non-renewable, fossil|exergy content",966dab634f4b4cf18dc0e01ed5578655,MJ-Eq,"Coal, hard, unspecified",b6d0042d-0ef8-49ed-9162-a07ff1ccf750,natural resource|in ground,kg,,19.7
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,"energy resources: non-renewable, fossil|exergy content",966dab634f4b4cf18dc0e01ed5578655,MJ-Eq,Peat,c5035ce2-5ee5-431f-a287-4b25da42be74,natural resource|biotic,kg,,10.3
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,"energy resources: non-renewable, fossil|exergy content",966dab634f4b4cf18dc0e01ed5578655,MJ-Eq,"Gas, mine, off-gas, process, coal mining",3ed5f377-344f-423a-b5ec-9a9a1162b944,natural resource|in ground,Sm3,0008006-14-2,37.6
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,"energy resources: non-renewable, fossil|exergy content",966dab634f4b4cf18dc0e01ed5578655,MJ-Eq,"Gas, natural",7c337428-fb1b-45c7-bbb2-2ee4d29e17ba,natural resource|in ground,Sm3,0008006-14-2,37.6
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,"energy resources: non-renewable, fossil|exergy content",966dab634f4b4cf18dc0e01ed5578655,MJ-Eq,"Oil, crude",88d06db9-59a1-4719-9174-afeb1fa4026a,natural resource|in ground,kg,,46.7
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,"energy resources: non-renewable, nuclear|exergy content",4c185aaf70f942cdb2f0b3f7cf69aad4,MJ-Eq,Uranium,2ba5e39b-adb6-4767-a51d-90c1cf32fe98,natural resource|in ground,kg,0007440-61-1,560000.0
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,energy resources: renewable|exergy content,c6721c1afaed49c68b0bd6dbe4e0adc7,MJ-Eq,"Energy, kinetic (in wind), converted",57c71b25-4663-4fad-9167-7ce5be3e8268,natural resource|in air,MJ,,1.0
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,energy resources: renewable|exergy content,c6721c1afaed49c68b0bd6dbe4e0adc7,MJ-Eq,"Energy, potential (in hydropower reservoir), converted",c0dd7ccd-9e7a-42b3-b899-dfd18c2150ca,natural resource|in water,MJ,,1.0
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,energy resources: renewable|exergy content,c6721c1afaed49c68b0bd6dbe4e0adc7,MJ-Eq,"Energy, solar, converted",a7ff17d4-d3fe-4a70-9f2e-392b34630772,natural resource|in air,MJ,,0.93
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,energy resources: renewable|exergy content,c6721c1afaed49c68b0bd6dbe4e0adc7,MJ-Eq,"Energy, gross calorific value, in biomass",01c12fca-ad8b-4902-8b48-2d5afe3d3a0f,natural resource|biotic,MJ,,1.05
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,"energy resources: renewable, biomass|exergy content",99d4d08c8dee4482a74030f1eb7dcede,MJ-Eq,"Energy, gross calorific value, in biomass",01c12fca-ad8b-4902-8b48-2d5afe3d3a0f,natural resource|biotic,MJ,,1.05
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,"energy resources: renewable, solar|exergy content",2db5dd8a28fb42d3bfaad2e0d6ab46cc,MJ-Eq,"Energy, solar, converted",a7ff17d4-d3fe-4a70-9f2e-392b34630772,natural resource|in air,MJ,,0.93
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,"energy resources: renewable, water|exergy content",c5e4ac4f36854e38bed6006481ffc371,MJ-Eq,"Energy, potential (in hydropower reservoir), converted",c0dd7ccd-9e7a-42b3-b899-dfd18c2150ca,natural resource|in water,MJ,,1.0
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,"energy resources: renewable, wind|exergy content",e2e6a42fb2a14781a73ffee5a9a1e0b3,MJ-Eq,"Energy, kinetic (in wind), converted",57c71b25-4663-4fad-9167-7ce5be3e8268,natural resource|in air,MJ,,1.0
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,material resources|exergy content,9a7031d91766497d88094c1bd3e49927,MJ-Eq,"Aluminium, 24% in bauxite, 11% in crude ore",8bc65fca-548d-4831-b102-391bbdd6bc8c,natural resource|in ground,kg,0001318-16-7,5.73
Cumulative Exergy Demand (CExD),34cb1803d7c74c73a9edb553b58fa170,material resources|exergy content,9a7031d91766497d88094c1bd3e49927,MJ-Eq,Anhydrite,6df9ea09-115a-4678-9f30-d92c877a46ec,natural resource|in ground,kg,0014798-04-0,0.06
