Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
EPS 2020d no LT,fb2b4fdefc654cfab78482f48cb07200,emissions to air no LT|monetary impact value no LT,c30e2c2cf0264b95902df795b0025657,EUR 2018,1-Pentene,8cbaa905-41b0-4327-8403-bf1c8eb25429,air|urban air close to ground,kg,0000109-67-1,2.98
EPS 2020d no LT,fb2b4fdefc654cfab78482f48cb07200,emissions to air no LT|monetary impact value no LT,c30e2c2cf0264b95902df795b0025657,EUR 2018,2-Methyl-1-propanol,e2d860e3-1038-4386-a5f1-25ad75d18bbd,air|urban air close to ground,kg,0000078-83-1,9.29
EPS 2020d no LT,fb2b4fdefc654cfab78482f48cb07200,emissions to air no LT|monetary impact value no LT,c30e2c2cf0264b95902df795b0025657,EUR 2018,2-Methyl-2-butene,79a87f98-0b00-4e7e-86f8-70667307f696,air|urban air close to ground,kg,0000513-35-9,2.82
EPS 2020d no LT,fb2b4fdefc654cfab78482f48cb07200,emissions to air no LT|monetary impact value no LT,c30e2c2cf0264b95902df795b0025657,EUR 2018,2-Propanol,cbf58f64-9286-406f-8dcb-ef1d81eec980,air|urban air close to ground,kg,0000067-63-0,9.26
EPS 2020d no LT,fb2b4fdefc654cfab78482f48cb07200,emissions to air no LT|monetary impact value no LT,c30e2c2cf0264b95902df795b0025657,EUR 2018,4-Methyl-2-pentanone,9fbec2f4-6b42-4e63-9573-14e04befe20f,air|urban air close to ground,kg,0000108-10-1,2.17
EPS 2020d no LT,fb2b4fdefc654cfab78482f48cb07200,emissions to air no LT|monetary impact value no LT,c30e2c2cf0264b95902df795b0025657,EUR 2018,Acetaldehyde,5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f,air|urban air close to ground,kg,0000075-07-0,1.85
EPS 2020d no LT,fb2b4fdefc654cfab78482f48cb07200,emissions to air no LT|monetary impact value no LT,c30e2c2cf0264b95902df795b0025657,EUR 2018,Acetic acid,b9b68c0c-053e-41de-ab72-8dfe1c3f5755,air|urban air close to ground,kg,0000064-19-7,0.749
EPS 2020d no LT,fb2b4fdefc654cfab78482f48cb07200,emissions to air no LT|monetary impact value no LT,c30e2c2cf0264b95902df795b0025657,EUR 2018,Acetone,1f130425-11f9-4ec2-8d2f-d282acaacf5c,air|urban air close to ground,kg,0000067-64-1,1.54
EPS 2020d no LT,fb2b4fdefc654cfab78482f48cb07200,emissions to air no LT|monetary impact value no LT,c30e2c2cf0264b95902df795b0025657,EUR 2018,Acrolein,7ed6dc0d-9c2e-4046-a44b-e8a708c2081e,air|urban air close to ground,kg,0000107-02-8,2.36
EPS 2020d no LT,fb2b4fdefc654cfab78482f48cb07200,emissions to air no LT|monetary impact value no LT,c30e2c2cf0264b95902df795b0025657,EUR 2018,Ammonia,9990b51b-7023-4700-bca0-1a32ef921f74,air|urban air close to ground,kg,0007664-41-7,-43.4
EPS 2020d no LT,fb2b4fdefc654cfab78482f48cb07200,emissions to air no LT|monetary impact value no LT,c30e2c2cf0264b95902df795b0025657,EUR 2018,Benzaldehyde,fe65f7e4-ee5b-4a6f-9d60-6c2f829dca3f,air|urban air close to ground,kg,0000100-52-7,38.4
EPS 2020d no LT,fb2b4fdefc654cfab78482f48cb07200,emissions to air no LT|monetary impact value no LT,c30e2c2cf0264b95902df795b0025657,EUR 2018,Benzene,1bb6a502-3ff9-4a79-835c-5588b855f1f5,air|urban air close to ground,kg,0000071-43-2,39.5
EPS 2020d no LT,fb2b4fdefc654cfab78482f48cb07200,emissions to air no LT|monetary impact value no LT,c30e2c2cf0264b95902df795b0025657,EUR 2018,"Benzene, ethyl-",7c09916a-b6b5-47f5-bdf6-30d2511beb82,air|urban air close to ground,kg,0000100-41-4,39.8
EPS 2020d no LT,fb2b4fdefc654cfab78482f48cb07200,emissions to air no LT|monetary impact value no LT,c30e2c2cf0264b95902df795b0025657,EUR 2018,Butadiene,e7140812-ce3d-49f5-97b0-2fef538217a5,air|urban air close to ground,kg,0000106-99-0,2.62
EPS 2020d no LT,fb2b4fdefc654cfab78482f48cb07200,emissions to air no LT|monetary impact value no LT,c30e2c2cf0264b95902df795b0025657,EUR 2018,Butane,892f10da-7bf2-42b3-b171-221989661a05,air|urban air close to ground,kg,0000106-97-8,2.22
EPS 2020d no LT,fb2b4fdefc654cfab78482f48cb07200,emissions to air no LT|monetary impact value no LT,c30e2c2cf0264b95902df795b0025657,EUR 2018,Butanol,efc4290c-1404-4e01-8b5e-e75c6d90615c,air|urban air close to ground,kg,0000071-36-3,9.93
EPS 2020d no LT,fb2b4fdefc654cfab78482f48cb07200,emissions to air no LT|monetary impact value no LT,c30e2c2cf0264b95902df795b0025657,EUR 2018,Cadmium II,36e53653-1338-42c7-816c-f6667809e0b1,air|urban air close to ground,kg,0022537-48-0,27.3
EPS 2020d no LT,fb2b4fdefc654cfab78482f48cb07200,emissions to air no LT|monetary impact value no LT,c30e2c2cf0264b95902df795b0025657,EUR 2018,"Carbon dioxide, fossil",f9749677-9c9f-4678-ab55-c607dfdc2cb9,air|urban air close to ground,kg,0000124-38-9,0.288
