Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,Butane,892f10da-7bf2-42b3-b171-221989661a05,air|urban air close to ground,kg,0000106-97-8,0.001
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Carbon dioxide, fossil",f9749677-9c9f-4678-ab55-c607dfdc2cb9,air|urban air close to ground,kg,0000124-38-9,1.0
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,Chloroform,4cadbc9f-0472-4bb9-a942-df5b90e37878,air|urban air close to ground,kg,0000067-66-3,3.72
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,Ethane,9ea11aea-7cb7-4b38-b936-a42c2a4bac97,air|urban air close to ground,kg,0000074-84-0,0.079
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",fa0c2bee-8dd9-4f8a-8489-b1f3b43de958,air|urban air close to ground,kg,0000811-97-2,306.0
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Ethane, 1,1,1-trichloro-, HCFC-140",818cee9e-231c-4b53-8ed2-47a0001802d5,air|urban air close to ground,kg,0000071-55-6,29.7
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Ethane, 1,1,1-trifluoro-, HFC-143a",f43b2b80-f5a6-4d31-9980-0754305a978d,air|urban air close to ground,kg,0000420-46-2,3250.0
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b",033d3a16-e1a2-4ce8-8769-f4ea867801ca,air|urban air close to ground,kg,0001717-00-6,162.0
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Ethane, 1,1-difluoro-, HFC-152a",393d0862-04cc-45ae-8d08-9dc2a4461b35,air|urban air close to ground,kg,0000075-37-6,29.8
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Ethane, 1,2-dichloro-",468bebea-17ee-49d3-b11d-c603d91c67c8,air|urban air close to ground,kg,0000107-06-2,0.234
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Ethane, 1-chloro-1,1-difluoro-, HCFC-142b",400be66e-4383-482a-93e3-c005e96de261,air|urban air close to ground,kg,0000075-68-3,514.0
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Ethane, 2,2-dichloro-1,1,1-trifluoro-, HCFC-123",db907ff7-6cf0-4f88-9376-116262dfad6d,air|urban air close to ground,kg,0000306-83-2,16.4
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Ethane, 2-chloro-1,1,1,2-tetrafluoro-, HCFC-124",27f61651-96a5-45c7-9873-832626cf6905,air|urban air close to ground,kg,0002837-89-0,110.0
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Ethane, chloropentafluoro-, CFC-115",15e54d5b-aba2-40a6-9aa8-aa2b8c432129,air|urban air close to ground,kg,0000076-15-3,11000.0
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Ethane, hexafluoro-, HFC-116",df5dd437-2e12-4af6-8f7a-9c8224857dc5,air|urban air close to ground,kg,0000076-16-4,15200.0
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Ethane, pentafluoro-, HFC-125",5d1701c5-c4ef-49c7-8a68-ce7c255eee9f,air|urban air close to ground,kg,0000354-33-6,1300.0
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,Tetrachloroethylene,d2d4b344-3c58-4b0c-868a-ac0bdb2027dc,air|urban air close to ground,kg,0000127-18-4,1.14
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,Trichloroethylene,0e7c1a7b-cd98-4f8d-a619-a687d3e2cb48,air|urban air close to ground,kg,0000079-01-6,0.008
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Methane, bromo-, Halon 1001",4bf1c333-419b-4278-ac14-247c8bf563d6,air|urban air close to ground,kg,0000074-83-9,0.438
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Methane, bromochlorodifluoro-, Halon 1211",816c43d1-bc30-4a72-81db-08cb6be4da4f,air|urban air close to ground,kg,0000353-59-3,406.0
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Methane, bromotrifluoro-, Halon 1301",18ddd879-5496-4419-8ab7-e0d3864d977d,air|urban air close to ground,kg,0000075-63-8,5060.0
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Methane, chlorodifluoro-, HCFC-22",8ca6c84b-7f56-47e6-8d17-4f2dbc49a943,air|urban air close to ground,kg,0000075-45-6,379.0
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Methane, chloro-fluoro-, HCFC-31",5fa05c4f-8766-41ff-9dd1-fa47c0b7ea48,air|urban air close to ground,kg,0000593-70-4,14.4
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Methane, chlorotrifluoro-, CFC-13",43bc4fc0-bfeb-46d6-b3de-f69c3ccd622a,air|urban air close to ground,kg,0000075-72-9,18800.0
IPCC 2021,d75d84b3bb4442be9525e86f9d3eaefd,climate change|global temperature change potential (GTP100),2a2d41277fc446929517ffe0d6d28798,kg CO2-Eq,"Methane, dichloro-, HCC-30",2716807d-0266-48ff-bb7a-6e6c5fbfd5c5,air|urban air close to ground,kg,0000075-09-2,2.01
