Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
TRACI v2.1,a9dcea5b283a4a44b36c2ca34ae5905d,acidification|acidification potential (AP),fab6c44982834d44b17ff3ecdc1d0455,kg SO2-Eq,Ammonia,9990b51b-7023-4700-bca0-1a32ef921f74,air|urban air close to ground,kg,0007664-41-7,1.88
TRACI v2.1,a9dcea5b283a4a44b36c2ca34ae5905d,acidification|acidification potential (AP),fab6c44982834d44b17ff3ecdc1d0455,kg SO2-Eq,Hydrochloric acid,afcbd980-14c2-4e1d-a0aa-5f6464e5c76b,air|urban air close to ground,kg,0007647-01-0,0.88
TRACI v2.1,a9dcea5b283a4a44b36c2ca34ae5905d,acidification|acidification potential (AP),fab6c44982834d44b17ff3ecdc1d0455,kg SO2-Eq,Hydrogen fluoride,257eacb9-96fe-4a3d-961a-f5e6c7823ff0,air|urban air close to ground,kg,0007664-39-3,1.6
TRACI v2.1,a9dcea5b283a4a44b36c2ca34ae5905d,acidification|acidification potential (AP),fab6c44982834d44b17ff3ecdc1d0455,kg SO2-Eq,Hydrogen sulfide,e3cfaa07-9b68-4461-a06f-a0e4e59d41d3,air|urban air close to ground,kg,0007783-06-4,1.88
TRACI v2.1,a9dcea5b283a4a44b36c2ca34ae5905d,acidification|acidification potential (AP),fab6c44982834d44b17ff3ecdc1d0455,kg SO2-Eq,Phosphoric acid,5d0058e0-ad1b-4c15-b0ff-a665bb04154f,air|urban air close to ground,kg,0007664-38-2,0.98
TRACI v2.1,a9dcea5b283a4a44b36c2ca34ae5905d,acidification|acidification potential (AP),fab6c44982834d44b17ff3ecdc1d0455,kg SO2-Eq,Sulfur dioxide,8c52f40c-69b7-4538-8923-b371523c71f5,air|urban air close to ground,kg,0007446-09-5,1.0
TRACI v2.1,a9dcea5b283a4a44b36c2ca34ae5905d,acidification|acidification potential (AP),fab6c44982834d44b17ff3ecdc1d0455,kg SO2-Eq,Sulfuric acid,7ecc2b66-8dde-4266-8832-f492f564377b,air|urban air close to ground,kg,0007664-93-9,0.65
TRACI v2.1,a9dcea5b283a4a44b36c2ca34ae5905d,acidification|acidification potential (AP),fab6c44982834d44b17ff3ecdc1d0455,kg SO2-Eq,Ammonia,0f440cc0-0f74-446d-99d6-8ff0e97a2444,air|non-urban air or from high stacks,kg,0007664-41-7,1.88
TRACI v2.1,a9dcea5b283a4a44b36c2ca34ae5905d,acidification|acidification potential (AP),fab6c44982834d44b17ff3ecdc1d0455,kg SO2-Eq,Ammonia,2b50f643-216a-412b-a0e5-5946867aa2ed,"air|low population density, long-term",kg,0007664-41-7,1.88
TRACI v2.1,a9dcea5b283a4a44b36c2ca34ae5905d,acidification|acidification potential (AP),fab6c44982834d44b17ff3ecdc1d0455,kg SO2-Eq,Ammonia,8494ed3c-0416-4aa5-b100-51a2b2bcadbd,air|lower stratosphere + upper troposphere,kg,0007664-41-7,1.88
