Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,"air|CO2, fossil",5620c0d96c9f4a57a4d048ac59b5ab2c,kg,"Carbon dioxide, fossil",f9749677-9c9f-4678-ab55-c607dfdc2cb9,air|urban air close to ground,kg,0000124-38-9,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,"air|CO2, fossil",5620c0d96c9f4a57a4d048ac59b5ab2c,kg,"Carbon dioxide, fossil",aa7cac3a-3625-41d4-bc54-33e2cf11ec46,air|non-urban air or from high stacks,kg,0000124-38-9,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,"air|CO2, fossil",5620c0d96c9f4a57a4d048ac59b5ab2c,kg,"Carbon dioxide, fossil",e259263c-d1f1-449f-bb9b-73c6d0a32a00,"air|low population density, long-term",kg,0000124-38-9,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,"air|CO2, fossil",5620c0d96c9f4a57a4d048ac59b5ab2c,kg,"Carbon dioxide, fossil",16eeda8a-1ea2-408e-ab37-2648495058dd,air|lower stratosphere + upper troposphere,kg,0000124-38-9,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,"air|CO2, fossil",5620c0d96c9f4a57a4d048ac59b5ab2c,kg,"Carbon dioxide, fossil",349b29d1-3e58-4c66-98b9-9d1a076efd2e,air|unspecified,kg,0000124-38-9,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,"air|CO2, fossil",5620c0d96c9f4a57a4d048ac59b5ab2c,kg,"Carbon dioxide, from soil or biomass stock",e4e9febc-07c1-403d-8d3a-6707bb4d96e6,air|unspecified,kg,0000124-38-9,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,"air|CO2, fossil",5620c0d96c9f4a57a4d048ac59b5ab2c,kg,"Carbon dioxide, from soil or biomass stock",e1c597cc-14cb-4ebb-af07-7a93a5b77d34,"air|low population density, long-term",kg,0000124-38-9,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,"air|CO2, fossil",5620c0d96c9f4a57a4d048ac59b5ab2c,kg,"Carbon dioxide, to soil or biomass stock",375bc95e-6596-4aa1-9716-80ff51b9da77,soil|unspecified,kg,0000124-38-9,-1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,"air|CO2, fossil",5620c0d96c9f4a57a4d048ac59b5ab2c,kg,"Carbon dioxide, from soil or biomass stock",6d89125e-e9b7-4d7e-a1fc-ada45dbd8815,air|lower stratosphere + upper troposphere,kg,0000124-38-9,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,"air|CO2, fossil",5620c0d96c9f4a57a4d048ac59b5ab2c,kg,"Carbon dioxide, from soil or biomass stock",78eb1859-abd9-44c6-9ce3-f3b5b33d619c,air|non-urban air or from high stacks,kg,0000124-38-9,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,"air|CO2, fossil",5620c0d96c9f4a57a4d048ac59b5ab2c,kg,"Carbon dioxide, from soil or biomass stock",e8787b5e-d927-446d-81a9-f56977bbfeb4,air|urban air close to ground,kg,0000124-38-9,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|nitrogen oxides,966a37f9689947a8b862e31346a71752,kg,Nitrogen oxides,d068f3e2-b033-417b-a359-ca4f25da9731,air|urban air close to ground,kg,0010102-44-0,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|nitrogen oxides,966a37f9689947a8b862e31346a71752,kg,Nitrogen oxides,77357947-ccc5-438e-9996-95e65e1e1bce,air|non-urban air or from high stacks,kg,0010102-44-0,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|nitrogen oxides,966a37f9689947a8b862e31346a71752,kg,Nitrogen oxides,9115356e-a534-4329-9ec6-d9208720241b,"air|low population density, long-term",kg,0010102-44-0,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|nitrogen oxides,966a37f9689947a8b862e31346a71752,kg,Nitrogen oxides,4841a0fe-c250-4a39-94a1-1bc31426c0f1,air|lower stratosphere + upper troposphere,kg,0010102-44-0,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|nitrogen oxides,966a37f9689947a8b862e31346a71752,kg,Nitrogen oxides,c1b91234-6f24-417b-8309-46111d09c457,air|unspecified,kg,0010102-44-0,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"1,4-Butanediol",38a622c6-f086-4763-a952-7c6b3b1c42ba,air|urban air close to ground,kg,0000110-63-4,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,1-Pentanol,541a823c-0aad-4dc4-9123-d4af4647d942,air|urban air close to ground,kg,0000071-41-0,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,1-Pentene,8cbaa905-41b0-4327-8403-bf1c8eb25429,air|urban air close to ground,kg,0000109-67-1,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,2-Aminopropanol,a0fec60d-3f74-48bf-a2d2-58c30fc13e53,air|urban air close to ground,kg,0002749-11-3,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,2-Methylpentane,d5649872-502b-4d23-b882-26d74a9fc4b4,air|urban air close to ground,kg,0000107-83-5,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,2-Methyl-1-propanol,e2d860e3-1038-4386-a5f1-25ad75d18bbd,air|urban air close to ground,kg,0000078-83-1,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,2-Methyl-2-butene,79a87f98-0b00-4e7e-86f8-70667307f696,air|urban air close to ground,kg,0000513-35-9,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,2-Propanol,cbf58f64-9286-406f-8dcb-ef1d81eec980,air|urban air close to ground,kg,0000067-63-0,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,3-Methyl-1-butanol,c6310f81-3859-4c5c-990a-4662ba179693,air|urban air close to ground,kg,0000123-51-3,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,4-Methyl-2-pentanone,9fbec2f4-6b42-4e63-9573-14e04befe20f,air|urban air close to ground,kg,0000108-10-1,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Acenaphthene,99c07b66-c039-4896-866d-06abdaa9d46a,air|urban air close to ground,kg,0000083-32-9,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Acetaldehyde,5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f,air|urban air close to ground,kg,0000075-07-0,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Acetic acid,b9b68c0c-053e-41de-ab72-8dfe1c3f5755,air|urban air close to ground,kg,0000064-19-7,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Acetic acid, trifluoro-",f38210d0-4566-4497-b270-662028efc0c6,air|urban air close to ground,kg,0000076-05-1,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Acetone,1f130425-11f9-4ec2-8d2f-d282acaacf5c,air|urban air close to ground,kg,0000067-64-1,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Acetonitrile,56dea244-390c-4f56-8b11-c8de2902816e,air|urban air close to ground,kg,0000075-05-8,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Acrolein,7ed6dc0d-9c2e-4046-a44b-e8a708c2081e,air|urban air close to ground,kg,0000107-02-8,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Acrylic acid,42f51ad5-6190-4641-b961-f411310554e9,air|urban air close to ground,kg,0000079-10-7,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Aldehydes, unspecified",d961f86b-e36b-4ac6-8cd4-b253e496de79,air|urban air close to ground,kg,,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Aniline,79def65c-bd77-4fb2-a1df-f4dba98ada8f,air|urban air close to ground,kg,0000062-53-3,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Anthranilic acid,48adac6a-94d3-4a65-901b-e60824c01a65,air|urban air close to ground,kg,0000118-92-3,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Benzal chloride,36b918a7-5b52-4853-812a-1f49c2366d89,air|urban air close to ground,kg,0000098-87-3,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Benzaldehyde,fe65f7e4-ee5b-4a6f-9d60-6c2f829dca3f,air|urban air close to ground,kg,0000100-52-7,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Benzene,1bb6a502-3ff9-4a79-835c-5588b855f1f5,air|urban air close to ground,kg,0000071-43-2,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Benzene, ethyl-",7c09916a-b6b5-47f5-bdf6-30d2511beb82,air|urban air close to ground,kg,0000100-41-4,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Benzene, hexachloro-",1af44724-172c-462b-b277-bb4b2fd32c33,air|urban air close to ground,kg,0000118-74-1,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Benzene, pentachloro-",c75dd699-08a5-4215-acf5-e618995e768f,air|urban air close to ground,kg,0000608-93-5,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Benzo(a)pyrene,2cbb504a-ce2f-40e9-9d38-e130e95a1242,air|urban air close to ground,kg,0000050-32-8,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Butadiene,e7140812-ce3d-49f5-97b0-2fef538217a5,air|urban air close to ground,kg,0000106-99-0,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Butane,892f10da-7bf2-42b3-b171-221989661a05,air|urban air close to ground,kg,0000106-97-8,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Butanol,efc4290c-1404-4e01-8b5e-e75c6d90615c,air|urban air close to ground,kg,0000071-36-3,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Butyrolactone,9036f1b8-4be6-4d97-96d8-c504acdfa2f0,air|urban air close to ground,kg,0000096-48-0,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Chloroacetic acid,ed38a7d2-ffa5-4c28-9aea-dd9df0d1898b,air|urban air close to ground,kg,0000079-11-8,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Chloroform,4cadbc9f-0472-4bb9-a942-df5b90e37878,air|urban air close to ground,kg,0000067-66-3,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Chlorosilane, trimethyl-",0131a35d-1d37-46ee-aed2-5ca12ac07ad4,air|urban air close to ground,kg,0000075-77-4,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Chlorosulfonic acid,d46ae140-6502-4335-ab1c-9d6eab19ce78,air|urban air close to ground,kg,0007790-94-5,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Cumene,35c746fb-2d4a-4d06-9955-1973ce67b74e,air|urban air close to ground,kg,0000098-82-8,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Cyanoacetic acid,932d7913-eb64-484c-b2ec-7aae36e29017,air|urban air close to ground,kg,0000372-09-8,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Cyclohexane,5512f026-b3a9-419a-b787-c0be0b39be1c,air|urban air close to ground,kg,0000110-82-7,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Diethyl ether,89951b1a-9b6b-4bc7-82fc-6fc263e91936,air|urban air close to ground,kg,0000060-29-7,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Diethylamine,7e7039a1-6186-4ef6-a7e6-d135b7fe5601,air|urban air close to ground,kg,0000109-89-7,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Diethylene glycol,d439867e-7ef9-41aa-91e2-de8a922f9158,air|urban air close to ground,kg,0000111-46-6,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Dimethyl malonate,7ee1a767-185e-444b-913d-6acbfdbab3bd,air|urban air close to ground,kg,0000108-59-8,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Dimethylamine,edf9fe90-37ee-4d8b-af9b-2e959422abfd,air|urban air close to ground,kg,0000124-40-3,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",237a5f15-8119-472a-8988-88b7ecb42405,air|urban air close to ground,kg,0001746-01-6,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Dipropylamine,9a1e90d7-af5d-41ab-bf7b-d4d4248d9e24,air|urban air close to ground,kg,0000142-84-7,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Epichlorohydrin,ebbb166e-83da-4a83-b8d2-678f871ffce7,air|urban air close to ground,kg,0000106-89-8,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Ethane,9ea11aea-7cb7-4b38-b936-a42c2a4bac97,air|urban air close to ground,kg,0000074-84-0,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Ethane thiol,b3d98733-ae64-474b-b68d-ba681c24c32d,air|urban air close to ground,kg,0000075-08-1,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",fa0c2bee-8dd9-4f8a-8489-b1f3b43de958,air|urban air close to ground,kg,0000811-97-2,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Ethane, 1,1,1-trichloro-, HCFC-140",818cee9e-231c-4b53-8ed2-47a0001802d5,air|urban air close to ground,kg,0000071-55-6,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Ethane, 1,1,1-trifluoro-, HFC-143a",f43b2b80-f5a6-4d31-9980-0754305a978d,air|urban air close to ground,kg,0000420-46-2,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Ethane, 1,1,2-trichloro-",eb53bdf4-5b02-40fa-a1cb-318e207e7eec,air|urban air close to ground,kg,0000079-00-5,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b",033d3a16-e1a2-4ce8-8769-f4ea867801ca,air|urban air close to ground,kg,0001717-00-6,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Ethane, 1,1-difluoro-, HFC-152a",393d0862-04cc-45ae-8d08-9dc2a4461b35,air|urban air close to ground,kg,0000075-37-6,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Ethane, 1,2-dichloro-",468bebea-17ee-49d3-b11d-c603d91c67c8,air|urban air close to ground,kg,0000107-06-2,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Ethane, 1-chloro-1,1-difluoro-, HCFC-142b",400be66e-4383-482a-93e3-c005e96de261,air|urban air close to ground,kg,0000075-68-3,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Ethane, 2,2-dichloro-1,1,1-trifluoro-, HCFC-123",db907ff7-6cf0-4f88-9376-116262dfad6d,air|urban air close to ground,kg,0000306-83-2,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Ethane, 2-chloro-1,1,1,2-tetrafluoro-, HCFC-124",27f61651-96a5-45c7-9873-832626cf6905,air|urban air close to ground,kg,0002837-89-0,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Ethane, chloropentafluoro-, CFC-115",15e54d5b-aba2-40a6-9aa8-aa2b8c432129,air|urban air close to ground,kg,0000076-15-3,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Ethane, hexafluoro-, HFC-116",df5dd437-2e12-4af6-8f7a-9c8224857dc5,air|urban air close to ground,kg,0000076-16-4,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,"Ethane, pentafluoro-, HFC-125",5d1701c5-c4ef-49c7-8a68-ce7c255eee9f,air|urban air close to ground,kg,0000354-33-6,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Ethanol,379a827c-3290-4810-9689-b9e892945836,air|urban air close to ground,kg,0000064-17-5,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Ethylene,36270548-9316-424b-9aeb-e0de134b0be1,air|urban air close to ground,kg,0000074-85-1,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Chloroethylene,127ff74d-018b-43b9-8a4e-fb5577d5ee5a,air|urban air close to ground,kg,0000075-01-4,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Tetrachloroethylene,d2d4b344-3c58-4b0c-868a-ac0bdb2027dc,air|urban air close to ground,kg,0000127-18-4,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Trichloroethylene,0e7c1a7b-cd98-4f8d-a619-a687d3e2cb48,air|urban air close to ground,kg,0000079-01-6,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Ethyl acetate,41cce80a-82c1-4caa-b6ef-718ec4b83fd6,air|urban air close to ground,kg,0000141-78-6,1.0
selected LCI results,0a29b0f6ef9c4cf0be899fa61e668551,air|NMVOC,88db0a3551594b898e8e8efa95c787cd,kg,Ethyl cellulose,6bd1ea0d-0fbb-46cd-a6b4-e699febbf4e8,air|urban air close to ground,kg,0009004-57-3,1.0
