Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
Cumulative Energy Demand (CED),faeeadc4a8c54c21b4e967704f10b9c2,energy resources: non-renewable|energy content (HHV),bbdeecd534c8425ebc470e3ddde9cad3,MJ-Eq,"Coal, brown",024c9722-1e88-412b-8c4b-10c532be8dca,natural resource|in ground,kg,,9.9
Cumulative Energy Demand (CED),faeeadc4a8c54c21b4e967704f10b9c2,energy resources: non-renewable|energy content (HHV),bbdeecd534c8425ebc470e3ddde9cad3,MJ-Eq,"Coal, hard, unspecified",b6d0042d-0ef8-49ed-9162-a07ff1ccf750,natural resource|in ground,kg,,19.1
Cumulative Energy Demand (CED),faeeadc4a8c54c21b4e967704f10b9c2,energy resources: non-renewable|energy content (HHV),bbdeecd534c8425ebc470e3ddde9cad3,MJ-Eq,Peat,c5035ce2-5ee5-431f-a287-4b25da42be74,natural resource|biotic,kg,,9.9
Cumulative Energy Demand (CED),faeeadc4a8c54c21b4e967704f10b9c2,energy resources: non-renewable|energy content (HHV),bbdeecd534c8425ebc470e3ddde9cad3,MJ-Eq,"Energy, gross calorific value, in biomass, primary forest",8842042d-7f07-45f8-bf43-fa83833d75de,natural resource|biotic,MJ,,1.0
Cumulative Energy Demand (CED),faeeadc4a8c54c21b4e967704f10b9c2,energy resources: non-renewable|energy content (HHV),bbdeecd534c8425ebc470e3ddde9cad3,MJ-Eq,Uranium,2ba5e39b-adb6-4767-a51d-90c1cf32fe98,natural resource|in ground,kg,0007440-61-1,560000.0
Cumulative Energy Demand (CED),faeeadc4a8c54c21b4e967704f10b9c2,energy resources: non-renewable|energy content (HHV),bbdeecd534c8425ebc470e3ddde9cad3,MJ-Eq,"Gas, mine, off-gas, process, coal mining",3ed5f377-344f-423a-b5ec-9a9a1162b944,natural resource|in ground,Sm3,0008006-14-2,40.0
Cumulative Energy Demand (CED),faeeadc4a8c54c21b4e967704f10b9c2,energy resources: non-renewable|energy content (HHV),bbdeecd534c8425ebc470e3ddde9cad3,MJ-Eq,"Gas, natural",7c337428-fb1b-45c7-bbb2-2ee4d29e17ba,natural resource|in ground,Sm3,0008006-14-2,40.0
Cumulative Energy Demand (CED),faeeadc4a8c54c21b4e967704f10b9c2,energy resources: non-renewable|energy content (HHV),bbdeecd534c8425ebc470e3ddde9cad3,MJ-Eq,"Oil, crude",88d06db9-59a1-4719-9174-afeb1fa4026a,natural resource|in ground,kg,,46.0
Cumulative Energy Demand (CED),faeeadc4a8c54c21b4e967704f10b9c2,"energy resources: non-renewable, biomass|energy content (HHV)",d2f17429a0fa43db9010b4a619736d27,MJ-Eq,"Energy, gross calorific value, in biomass, primary forest",8842042d-7f07-45f8-bf43-fa83833d75de,natural resource|biotic,MJ,,1.0
Cumulative Energy Demand (CED),faeeadc4a8c54c21b4e967704f10b9c2,"energy resources: non-renewable, fossil|energy content (HHV)",ef81c972e9ae4fae9688d376d62b7ef4,MJ-Eq,"Coal, brown",024c9722-1e88-412b-8c4b-10c532be8dca,natural resource|in ground,kg,,9.9
