Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Ammonia,9990b51b-7023-4700-bca0-1a32ef921f74,air|urban air close to ground,kg,0007664-41-7,23.1
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Hydrochloric acid,afcbd980-14c2-4e1d-a0aa-5f6464e5c76b,air|urban air close to ground,kg,0007647-01-0,62.0
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Hydrogen fluoride,257eacb9-96fe-4a3d-961a-f5e6c7823ff0,air|urban air close to ground,kg,0007664-39-3,113.0
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Hydrogen sulfide,e3cfaa07-9b68-4461-a06f-a0e4e59d41d3,air|urban air close to ground,kg,0007783-06-4,33.2
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Sulfur dioxide,8c52f40c-69b7-4538-8923-b371523c71f5,air|urban air close to ground,kg,0007446-09-5,17.7
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Sulfuric acid,7ecc2b66-8dde-4266-8832-f492f564377b,air|urban air close to ground,kg,0007664-93-9,11.5
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Ammonia,0f440cc0-0f74-446d-99d6-8ff0e97a2444,air|non-urban air or from high stacks,kg,0007664-41-7,23.1
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Ammonia,8494ed3c-0416-4aa5-b100-51a2b2bcadbd,air|lower stratosphere + upper troposphere,kg,0007664-41-7,23.1
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Ammonia,87883a4e-1e3e-4c9d-90c0-f1bea36f8014,air|unspecified,kg,0007664-41-7,23.1
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Hydrochloric acid,68e32537-beae-41c2-be72-74df4d273c11,air|non-urban air or from high stacks,kg,0007647-01-0,62.0
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Hydrochloric acid,50f3bc1e-fafc-44a2-9800-4468d8c3b643,air|lower stratosphere + upper troposphere,kg,0007647-01-0,62.0
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Hydrogen fluoride,8b7dc667-f04e-492c-a161-80b1482126b0,air|non-urban air or from high stacks,kg,0007664-39-3,113.0
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Hydrogen fluoride,b1689d22-7f6d-432c-8948-13d8f6df8a27,air|lower stratosphere + upper troposphere,kg,0007664-39-3,113.0
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Hydrogen fluoride,24541c8c-9f11-49ae-9de5-456f238a3f5e,air|unspecified,kg,0007664-39-3,113.0
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Hydrogen sulfide,0b0ea9d1-9c54-4e23-bcfc-1b8fc2cf0358,air|non-urban air or from high stacks,kg,0007783-06-4,33.2
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Hydrogen sulfide,59281544-7c5a-4101-a972-10118e8df6aa,air|lower stratosphere + upper troposphere,kg,0007783-06-4,33.2
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Hydrogen sulfide,20d4d821-f4f7-4017-8810-f822fcdf619e,air|unspecified,kg,0007783-06-4,33.2
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Sulfur dioxide,78c3efe4-421c-4d30-82e4-b97ac5124993,air|non-urban air or from high stacks,kg,0007446-09-5,17.7
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Sulfur dioxide,16521d00-4b6f-464f-b5dd-8da4a27b15ca,air|lower stratosphere + upper troposphere,kg,0007446-09-5,17.7
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Sulfur dioxide,fd7aa71c-508c-480d-81a6-8052aad92646,air|unspecified,kg,0007446-09-5,17.7
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Sulfuric acid,5c9d8310-f7e1-4e98-8e73-7eece0435676,air|non-urban air or from high stacks,kg,0007664-93-9,11.5
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Sulfuric acid,3caec0e2-2d07-4463-abae-bef6a0d4bbdb,air|lower stratosphere + upper troposphere,kg,0007664-93-9,11.5
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Sulfuric acid,99c65c6a-6871-40ba-af79-5bd6851688e4,air|unspecified,kg,0007664-93-9,11.5
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Sulfur trioxide,b00950bc-99cb-4ee2-bbc0-5f878ea170c3,air|urban air close to ground,kg,0007446-11-9,0.8
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Sulfur trioxide,48430c70-95e0-4036-9854-72cc772ac8b2,air|non-urban air or from high stacks,kg,0007446-11-9,0.8
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Sulfur trioxide,aeb3e625-906a-4993-9f02-785f8cfd1ea5,air|lower stratosphere + upper troposphere,kg,0007446-11-9,0.8
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Sulfur trioxide,3268d8df-59cc-4740-a89f-dee8355ad7c3,air|unspecified,kg,0007446-11-9,0.8
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Nitrogen oxides,d068f3e2-b033-417b-a359-ca4f25da9731,air|urban air close to ground,kg,0010102-44-0,8.6
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Nitrogen oxides,77357947-ccc5-438e-9996-95e65e1e1bce,air|non-urban air or from high stacks,kg,0010102-44-0,8.6
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Nitrogen oxides,4841a0fe-c250-4a39-94a1-1bc31426c0f1,air|lower stratosphere + upper troposphere,kg,0010102-44-0,8.6
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,acidification no LT|acidification no LT,f567ee9c7e394a43a3b227b1473c11bd,m2,Nitrogen oxides,c1b91234-6f24-417b-8309-46111d09c457,air|unspecified,kg,0010102-44-0,8.6
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,"Benzene, chloro-",fb413172-7a53-458d-8bda-3a68d75f3421,water|ground-,kg,0000108-90-7,100000.0
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,Cadmium II,3937f5a5-b4a4-434d-9fc3-1d29064fc3f8,water|ground-,kg,0022537-48-0,11765000.0
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,Copper ion,c3b659e5-35f1-408c-8cb5-b5f9b295c76e,water|ground-,kg,,1250000.0
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,Dichromate,ff5b7e31-3118-40f5-9b82-f65018442d77,water|ground-,kg,0013907-47-6,32099.0
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,Hypochlorite,1aa7eec2-1079-4792-825c-364a7bde9921,water|ground-,kg,0014380-61-1,26667.0
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,Iron ion,33fd8342-58e7-45c9-ad92-0951c002c403,water|ground-,kg,,10000.0
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,Silver I,71cfe87c-ab80-421e-adba-afb7d5bd0861,water|ground-,kg,0014701-21-4,5000000.0
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,Titanium ion,e2380d91-f278-41ee-9926-15272a7d1443,water|ground-,kg,,13680.0
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,Vanadium V,ed1fd27e-014a-41cf-842f-7b2022b0be79,water|ground-,kg,0022537-31-1,20000.0
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,Zinc II,7e769b3e-03fb-4b53-be15-85a910dcfea9,water|ground-,kg,0023713-49-7,100000.0
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,2-Methyl-1-propanol,d3f6f514-41e1-4b24-aa56-7d403839a4dd,water|ground-,kg,0000078-83-1,34.483
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,2-Methyl-1-propanol,76a317b6-1c35-4c75-bb00-1cd5ec8c8e17,water|ocean,kg,0000078-83-1,34.483
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,2-Methyl-1-propanol,79240a49-80cf-4be4-b5c2-bfdd3f4aa249,water|surface water,kg,0000078-83-1,34.483
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,2-Methyl-1-propanol,446e7a93-6ac4-4bdf-b97d-03f683c7488c,water|unspecified,kg,0000078-83-1,34.483
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,2-Propanol,697667f9-d58c-4a64-99e3-30d24d7f91a2,water|ground-,kg,0000067-63-0,126.58
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,2-Propanol,5b33703d-d6a1-4bde-88e7-3b90b4d45550,water|ocean,kg,0000067-63-0,126.58
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,2-Propanol,caeb15fa-9711-4d37-99a2-d12c7823b8bc,water|surface water,kg,0000067-63-0,126.58
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,2-Propanol,e92a1310-603c-4346-85b8-e4e3192cd75c,water|unspecified,kg,0000067-63-0,126.58
EDIP 2003 no LT,ad13b196bc61402db2f3fca5bf892403,"ecotoxicity no LT|acute, in water no LT",009b8e7c74254e3fb57d8ac00da57737,m3 water,Acetaldehyde,28b0681a-8e83-4997-be31-65e5a0a1a81f,water|ground-,kg,0000075-07-0,366.3
