Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
EN15804,6dfa152a7d5f488c961cefc53449b742,inventory indicators ISO21930|exported energy - electricity,77bd3a957e7e4b28965649bf33ab52c8,MJ,Exported energy - electricity,3a813213-cdbc-4bd7-a888-f75fbda0538a,inventory indicator|output flow,MJ,,1.0
EN15804,6dfa152a7d5f488c961cefc53449b742,inventory indicators ISO21930|exported energy - heat,422baa231da441d18eaad81016fbe45e,MJ,Exported energy - heat,f7716b68-0f4d-45fe-a07c-ff0df2ad8e6f,inventory indicator|output flow,MJ,,1.0
EN15804,6dfa152a7d5f488c961cefc53449b742,inventory indicators ISO21930|hazardous waste disposed,f0e5452b3ad84267b2b0af8dc6a89bd4,kg,Hazardous waste disposed,36a21e09-9ed5-4e04-a76e-140096f89069,inventory indicator|waste,kg,,1.0
EN15804,6dfa152a7d5f488c961cefc53449b742,inventory indicators ISO21930|high-level radioactive waste disposed,7b3c049eb876491d8b18122ada2e15a2,kg,High-level radioactive waste disposed,7676cc94-e077-4b39-bd34-8034874e845a,inventory indicator|waste,kg,,1.0
EN15804,6dfa152a7d5f488c961cefc53449b742,inventory indicators ISO21930|intermediate and low-level radioactive waste disposed,d1edd18ea415412b945263317861037a,kg,Intermediate and low-level radioactive waste disposed,5918ebf5-6a3c-4e54-927c-e51ba32df7d3,inventory indicator|waste,kg,,1.0
EN15804,6dfa152a7d5f488c961cefc53449b742,inventory indicators ISO21930|materials for energy recovery,bc34cc71895640e994254709110afa69,kg,Materials for energy recovery,915083eb-1237-408c-a8a6-49099150a5fe,inventory indicator|output flow,kg,,1.0
EN15804,6dfa152a7d5f488c961cefc53449b742,inventory indicators ISO21930|materials for recycling,50a67075faec49c4b3c024f8698d0d32,kg,Materials for recycling,9bd2611d-acc1-4de8-880a-9506df5971fa,inventory indicator|output flow,kg,,1.0
EN15804,6dfa152a7d5f488c961cefc53449b742,inventory indicators ISO21930|non-hazardous waste disposed,e350b4936682473fa8fc03ea95e7d6da,kg,Non-hazardous waste disposed,739ad964-45ab-4623-bad7-05f718433e40,inventory indicator|waste,kg,,1.0
EN15804,6dfa152a7d5f488c961cefc53449b742,inventory indicators ISO21930|recovered energy,260cd16ddb284e75a5c96a1d569994d1,MJ,Recovered energy,e383895d-79f8-4dca-bede-d4520395a392,inventory indicator|resource use,MJ,,1.0
EN15804,6dfa152a7d5f488c961cefc53449b742,inventory indicators ISO21930|use of net fresh water,1b42fb922f7a4862a3ca88d0ce8ad50d,m3,Water,2404b41a-2eed-4e9d-8ab6-783946fdf5d6,water|unspecified,m3,0007732-18-5,-1.0
