Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
"ReCiPe 2016 v1.03, midpoint (E) no LT",93bdbe62d36343de92a6c864123ba73e,acidification: terrestrial no LT|terrestrial acidification potential (TAP) no LT,f0bd5d2b922c471e8e1914b105e49b1a,kg SO2-Eq,Ammonia,8494ed3c-0416-4aa5-b100-51a2b2bcadbd,air|lower stratosphere + upper troposphere,kg,0007664-41-7,1.96
"ReCiPe 2016 v1.03, midpoint (E) no LT",93bdbe62d36343de92a6c864123ba73e,acidification: terrestrial no LT|terrestrial acidification potential (TAP) no LT,f0bd5d2b922c471e8e1914b105e49b1a,kg SO2-Eq,Ammonia,0f440cc0-0f74-446d-99d6-8ff0e97a2444,air|non-urban air or from high stacks,kg,0007664-41-7,1.96
"ReCiPe 2016 v1.03, midpoint (E) no LT",93bdbe62d36343de92a6c864123ba73e,acidification: terrestrial no LT|terrestrial acidification potential (TAP) no LT,f0bd5d2b922c471e8e1914b105e49b1a,kg SO2-Eq,Ammonia,87883a4e-1e3e-4c9d-90c0-f1bea36f8014,air|unspecified,kg,0007664-41-7,1.96
"ReCiPe 2016 v1.03, midpoint (E) no LT",93bdbe62d36343de92a6c864123ba73e,acidification: terrestrial no LT|terrestrial acidification potential (TAP) no LT,f0bd5d2b922c471e8e1914b105e49b1a,kg SO2-Eq,Ammonia,9990b51b-7023-4700-bca0-1a32ef921f74,air|urban air close to ground,kg,0007664-41-7,1.96
"ReCiPe 2016 v1.03, midpoint (E) no LT",93bdbe62d36343de92a6c864123ba73e,acidification: terrestrial no LT|terrestrial acidification potential (TAP) no LT,f0bd5d2b922c471e8e1914b105e49b1a,kg SO2-Eq,Nitrate,0e9e6b81-0a68-4350-8368-566c083bd3e0,air|lower stratosphere + upper troposphere,kg,0014797-55-8,0.27
"ReCiPe 2016 v1.03, midpoint (E) no LT",93bdbe62d36343de92a6c864123ba73e,acidification: terrestrial no LT|terrestrial acidification potential (TAP) no LT,f0bd5d2b922c471e8e1914b105e49b1a,kg SO2-Eq,Nitrate,cbd70647-6237-462a-9d01-d197a8b08506,air|non-urban air or from high stacks,kg,0014797-55-8,0.27
"ReCiPe 2016 v1.03, midpoint (E) no LT",93bdbe62d36343de92a6c864123ba73e,acidification: terrestrial no LT|terrestrial acidification potential (TAP) no LT,f0bd5d2b922c471e8e1914b105e49b1a,kg SO2-Eq,Nitrate,5e7cf95c-9cc3-4479-89af-55377b3db99c,air|unspecified,kg,0014797-55-8,0.27
"ReCiPe 2016 v1.03, midpoint (E) no LT",93bdbe62d36343de92a6c864123ba73e,acidification: terrestrial no LT|terrestrial acidification potential (TAP) no LT,f0bd5d2b922c471e8e1914b105e49b1a,kg SO2-Eq,Nitrate,15ca802b-f541-44aa-bd33-35560a053193,air|urban air close to ground,kg,0014797-55-8,0.27
"ReCiPe 2016 v1.03, midpoint (E) no LT",93bdbe62d36343de92a6c864123ba73e,acidification: terrestrial no LT|terrestrial acidification potential (TAP) no LT,f0bd5d2b922c471e8e1914b105e49b1a,kg SO2-Eq,Nitric oxide,17f7e776-7934-54af-8c3c-ed0247cb697b,air|unspecified,kg,0010102-43-9,0.552
"ReCiPe 2016 v1.03, midpoint (E) no LT",93bdbe62d36343de92a6c864123ba73e,acidification: terrestrial no LT|terrestrial acidification potential (TAP) no LT,f0bd5d2b922c471e8e1914b105e49b1a,kg SO2-Eq,Nitrogen oxides,4841a0fe-c250-4a39-94a1-1bc31426c0f1,air|lower stratosphere + upper troposphere,kg,0010102-44-0,0.36
"ReCiPe 2016 v1.03, midpoint (E) no LT",93bdbe62d36343de92a6c864123ba73e,acidification: terrestrial no LT|terrestrial acidification potential (TAP) no LT,f0bd5d2b922c471e8e1914b105e49b1a,kg SO2-Eq,Nitrogen oxides,77357947-ccc5-438e-9996-95e65e1e1bce,air|non-urban air or from high stacks,kg,0010102-44-0,0.36
