Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
USEtox no LT,c77733eef3bc4501a2dfe07729adf332,ecotoxicity no LT|total no LT,20619333fed042c9ab3ccf56ca803341,CTU,"1,4-Butanediol",38a622c6-f086-4763-a952-7c6b3b1c42ba,air|urban air close to ground,kg,0000110-63-4,0.877584851265
USEtox no LT,c77733eef3bc4501a2dfe07729adf332,ecotoxicity no LT|total no LT,20619333fed042c9ab3ccf56ca803341,CTU,1-Pentanol,541a823c-0aad-4dc4-9123-d4af4647d942,air|urban air close to ground,kg,0000071-41-0,0.213832412002
USEtox no LT,c77733eef3bc4501a2dfe07729adf332,ecotoxicity no LT|total no LT,20619333fed042c9ab3ccf56ca803341,CTU,"2,4-D",f681eb3c-854a-4f78-bcfe-76dfbcf9df3c,soil|agricultural,kg,0000094-75-7,181.907571259
USEtox no LT,c77733eef3bc4501a2dfe07729adf332,ecotoxicity no LT|total no LT,20619333fed042c9ab3ccf56ca803341,CTU,2-Methyl-1-propanol,e2d860e3-1038-4386-a5f1-25ad75d18bbd,air|urban air close to ground,kg,0000078-83-1,0.201500544561
USEtox no LT,c77733eef3bc4501a2dfe07729adf332,ecotoxicity no LT|total no LT,20619333fed042c9ab3ccf56ca803341,CTU,2-Propanol,cbf58f64-9286-406f-8dcb-ef1d81eec980,air|urban air close to ground,kg,0000067-63-0,0.0805092493331
USEtox no LT,c77733eef3bc4501a2dfe07729adf332,ecotoxicity no LT|total no LT,20619333fed042c9ab3ccf56ca803341,CTU,3-Methyl-1-butanol,c6310f81-3859-4c5c-990a-4662ba179693,air|urban air close to ground,kg,0000123-51-3,0.254007818656
USEtox no LT,c77733eef3bc4501a2dfe07729adf332,ecotoxicity no LT|total no LT,20619333fed042c9ab3ccf56ca803341,CTU,4-Methyl-2-pentanol,70c436a2-c304-4405-9230-dcfbb7b11dde,water|ground-,kg,0000108-11-2,2.31522045892
USEtox no LT,c77733eef3bc4501a2dfe07729adf332,ecotoxicity no LT|total no LT,20619333fed042c9ab3ccf56ca803341,CTU,4-Methyl-2-pentanone,9fbec2f4-6b42-4e63-9573-14e04befe20f,air|urban air close to ground,kg,0000108-10-1,0.0205719242927
USEtox no LT,c77733eef3bc4501a2dfe07729adf332,ecotoxicity no LT|total no LT,20619333fed042c9ab3ccf56ca803341,CTU,Acenaphthene,99c07b66-c039-4896-866d-06abdaa9d46a,air|urban air close to ground,kg,0000083-32-9,3.46313641731
USEtox no LT,c77733eef3bc4501a2dfe07729adf332,ecotoxicity no LT|total no LT,20619333fed042c9ab3ccf56ca803341,CTU,Acephate,cdcdbfc9-3d5f-4e78-8033-8dbecbb2cfec,soil|agricultural,kg,0030560-19-1,252.348005989
USEtox no LT,c77733eef3bc4501a2dfe07729adf332,ecotoxicity no LT|total no LT,20619333fed042c9ab3ccf56ca803341,CTU,Acetaldehyde,5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f,air|urban air close to ground,kg,0000075-07-0,0.288405388775
USEtox no LT,c77733eef3bc4501a2dfe07729adf332,ecotoxicity no LT|total no LT,20619333fed042c9ab3ccf56ca803341,CTU,Acetamide,eb23cf3a-b866-458d-94b3-9aee4145fcc9,soil|agricultural,kg,0000060-35-5,0.789914178246
USEtox no LT,c77733eef3bc4501a2dfe07729adf332,ecotoxicity no LT|total no LT,20619333fed042c9ab3ccf56ca803341,CTU,Acetic acid,b9b68c0c-053e-41de-ab72-8dfe1c3f5755,air|urban air close to ground,kg,0000064-19-7,10.5159542713
USEtox no LT,c77733eef3bc4501a2dfe07729adf332,ecotoxicity no LT|total no LT,20619333fed042c9ab3ccf56ca803341,CTU,Acetochlor,92ee2fc1-238c-465d-9887-418af42db9c7,soil|agricultural,kg,0034256-82-1,7610.91467447
USEtox no LT,c77733eef3bc4501a2dfe07729adf332,ecotoxicity no LT|total no LT,20619333fed042c9ab3ccf56ca803341,CTU,Acetone,1f130425-11f9-4ec2-8d2f-d282acaacf5c,air|urban air close to ground,kg,0000067-64-1,0.0792660811821
